year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1977,10,1,21.6,18.5,26.4,,,
1977,10,2,20.3,17.9,22.5,0.0,0.0,
1977,10,3,19.8,15.3,26.2,,,
1977,10,4,19.5,15.3,26.2,,,
1977,10,5,20.8,14.9,26.2,,,
1977,10,6,18.3,14.2,22.5,17.9,17.9,
1977,10,7,14.4,13.5,15.7,14.2,14.2,
1977,10,8,15.9,12.1,21.4,1.1,1.1,
1977,10,9,17.5,12.6,24.1,,,
1977,10,10,13.2,9.7,17.3,28.6,28.6,
1977,10,11,12.6,7.8,18.9,,,
1977,10,12,15.7,9.0,22.9,,,
1977,10,13,16.0,10.7,22.6,,,
1977,10,14,17.8,9.1,27.0,,,
1977,10,15,20.0,14.9,24.5,3.6,3.6,
1977,10,16,13.0,8.1,17.7,,,
1977,10,17,13.1,7.7,18.3,,,
1977,10,18,15.0,8.8,21.5,,,
1977,10,19,14.9,9.6,21.4,,,
1977,10,20,16.2,8.6,23.9,,,
1977,10,21,18.8,14.0,26.7,,,
1977,10,22,19.3,13.9,26.9,,,
1977,10,23,19.9,15.2,26.5,,,
1977,10,24,14.7,12.7,17.5,2.2,2.2,
1977,10,25,15.3,11.2,20.6,,,
1977,10,26,16.4,14.4,20.2,1.4,1.4,
1977,10,27,15.9,12.5,20.0,,,
1977,10,28,15.5,11.5,19.9,,,
1977,10,29,15.2,12.0,19.6,,,
1977,10,30,22.3,19.0,26.0,0.0,0.0,
1977,10,31,16.8,13.7,19.1,,,
