year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2007,5,1,13.7,10.6,18.0,8.5,8.5,
2007,5,2,13.1,8.1,17.7,,,
2007,5,3,13.3,10.3,16.7,0.0,0.0,
2007,5,4,11.9,10.1,14.8,0.0,0.0,
2007,5,5,16.3,10.3,22.7,0.0,0.0,
2007,5,6,18.0,12.5,24.3,,,
2007,5,7,15.7,9.5,20.5,,,
2007,5,8,16.1,12.3,22.3,,,
2007,5,9,13.2,9.5,19.1,5.5,5.5,
2007,5,10,13.3,6.4,20.2,,,
2007,5,11,15.4,8.1,22.5,,,
2007,5,12,11.8,10.1,15.1,14.0,14.0,
2007,5,13,15.7,9.6,20.7,,,
2007,5,14,13.8,10.1,17.0,0.5,0.5,
2007,5,15,17.1,9.6,22.2,,,
2007,5,16,16.1,13.3,20.1,46.0,46.0,
2007,5,17,16.5,13.3,22.8,15.5,15.5,
2007,5,18,14.1,10.5,20.1,3.0,3.0,
2007,5,19,14.2,9.3,19.2,0.5,0.5,
2007,5,20,14.5,9.6,20.3,,,
2007,5,21,15.5,9.6,21.7,,,
2007,5,22,17.6,10.3,23.6,,,
2007,5,23,18.2,11.8,24.3,0.0,0.0,
2007,5,24,17.8,17.0,19.3,68.5,68.5,
2007,5,25,16.8,14.3,19.1,0.5,0.5,
2007,5,26,17.9,11.8,22.8,,,
2007,5,27,19.8,12.3,27.6,,,
2007,5,28,19.4,15.3,24.8,0.0,0.0,
2007,5,29,15.3,13.1,17.7,7.0,7.0,
2007,5,30,17.1,11.8,22.8,,,
2007,5,31,19.6,13.1,26.1,,,
