year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1982,7,1,20.6,14.5,27.4,,,
1982,7,2,22.0,15.2,26.8,,,
1982,7,3,22.5,19.8,25.9,,,
1982,7,4,22.7,18.2,26.7,,,
1982,7,5,22.9,17.8,26.1,,,
1982,7,6,23.0,20.8,25.5,,,
1982,7,7,24.4,20.2,29.3,,,
1982,7,8,25.6,20.4,31.8,,,
1982,7,9,25.1,19.9,28.6,,,
1982,7,10,25.5,23.7,28.0,6.6,6.6,
1982,7,11,25.6,24.0,29.1,24.8,24.8,
1982,7,12,23.6,20.0,30.1,,,
1982,7,13,21.6,19.6,24.8,3.2,3.2,
1982,7,14,21.9,19.8,24.1,69.3,69.3,
1982,7,15,23.6,19.6,27.5,4.4,4.4,
1982,7,16,24.1,21.6,27.1,8.9,8.9,
1982,7,17,22.7,18.6,29.3,,,
1982,7,18,22.7,18.8,26.9,0.0,0.0,
1982,7,19,23.5,17.1,29.9,,,
1982,7,20,21.9,19.0,27.0,,,
1982,7,21,25.4,18.7,32.3,,,
1982,7,22,24.0,20.4,27.6,,,
1982,7,23,21.5,20.0,22.6,107.2,107.2,
1982,7,24,22.7,21.2,24.2,2.7,2.7,
1982,7,25,23.4,21.2,25.9,64.3,64.3,
1982,7,26,24.7,22.3,28.4,0.4,0.4,
1982,7,27,25.3,22.0,28.2,,,
1982,7,28,24.5,23.4,27.3,0.0,0.0,
1982,7,29,22.1,19.8,23.8,20.2,20.2,
1982,7,30,24.2,19.8,30.0,,,
1982,7,31,24.1,20.4,28.3,9.3,9.3,
