year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2021,8,1,27.2,25.3,29.6,3.3,3.3,
2021,8,2,27.6,25.2,30.8,1.3,1.3,
2021,8,3,27.9,25.7,30.9,0.2,0.2,
2021,8,4,28.9,25.7,33.4,,,
2021,8,5,29.0,26.3,32.8,,,
2021,8,6,28.4,25.4,32.1,,,
2021,8,7,27.6,25.9,31.2,,,
2021,8,8,27.1,25.6,29.9,0.0,0.0,
2021,8,9,27.4,25.3,31.8,0.1,0.1,
2021,8,10,27.5,25.1,30.4,,,
2021,8,11,25.8,21.6,30.1,39.4,39.4,
2021,8,12,25.8,23.7,28.4,1.8,1.8,
2021,8,13,23.9,22.8,26.3,34.3,34.3,
2021,8,14,23.3,21.6,25.2,31.1,31.1,
2021,8,15,24.2,22.4,26.5,2.3,2.3,
2021,8,16,25.3,22.7,29.4,0.7,0.7,
2021,8,17,25.1,23.4,27.6,,,
2021,8,18,25.6,22.6,28.9,,,
2021,8,19,24.7,22.2,28.2,4.7,4.7,
2021,8,20,26.4,23.4,29.7,,,
2021,8,21,26.0,23.9,27.2,4.6,4.6,
2021,8,22,25.1,23.5,26.6,63.4,63.4,
2021,8,23,26.4,24.8,29.3,1.9,1.9,
2021,8,24,26.6,25.3,27.8,5.2,5.2,
2021,8,25,26.3,23.7,27.3,1.8,1.8,
2021,8,26,26.4,24.6,28.6,,,
2021,8,27,26.9,25.1,28.9,0.6,0.6,
2021,8,28,26.8,25.3,29.5,,,
2021,8,29,27.0,25.2,29.6,,,
2021,8,30,27.3,25.6,29.6,,,
2021,8,31,26.9,24.2,29.7,,,
