year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2023,8,1,29.0,24.1,35.5,1.2,1.2,
2023,8,2,28.6,24.7,34.5,0.0,0.0,
2023,8,3,29.0,23.7,35.5,,,
2023,8,4,29.1,24.1,35.0,,,
2023,8,5,29.3,24.1,35.4,,,
2023,8,6,29.1,24.7,35.3,0.5,0.5,
2023,8,7,28.4,25.0,35.0,,,
2023,8,8,29.5,24.3,36.0,,,
2023,8,9,27.3,24.1,32.0,0.5,0.5,
2023,8,10,23.2,21.6,24.6,52.6,52.6,
2023,8,11,26.0,23.1,31.2,0.0,0.0,
2023,8,12,25.9,22.4,30.8,0.1,0.1,
2023,8,13,27.4,22.5,33.6,,,
2023,8,14,27.3,23.7,33.5,8.5,8.5,
2023,8,15,27.1,22.7,32.4,,,
2023,8,16,26.9,23.1,32.6,,,
2023,8,17,26.7,21.2,32.9,,,
2023,8,18,27.3,22.6,33.1,0.6,0.6,
2023,8,19,27.7,24.7,32.7,,,
2023,8,20,27.8,23.2,34.1,,,
2023,8,21,28.8,23.6,33.7,,,
2023,8,22,28.0,25.1,33.0,11.9,11.9,
2023,8,23,24.9,22.7,28.7,84.6,84.6,
2023,8,24,25.2,23.2,28.7,2.5,2.5,
2023,8,25,25.9,21.3,31.1,,,
2023,8,26,24.9,19.7,31.1,,,
2023,8,27,26.0,20.7,32.4,,,
2023,8,28,27.2,23.8,30.7,1.0,1.0,
2023,8,29,25.3,23.2,28.0,13.9,13.9,
2023,8,30,21.5,19.2,23.7,12.1,12.1,
2023,8,31,22.7,18.7,27.6,0.2,0.2,
