year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1986,5,1,11.9,9.9,15.8,17.6,17.6,
1986,5,2,14.3,8.9,23.3,,,
1986,5,3,18.2,11.3,26.5,,,
1986,5,4,16.6,7.1,27.2,,,
1986,5,5,16.9,6.7,26.9,,,
1986,5,6,18.6,9.4,27.1,0.0,0.0,
1986,5,7,19.4,8.7,28.3,,,
1986,5,8,19.6,8.0,30.3,,,
1986,5,9,16.9,8.3,23.4,1.6,1.6,
1986,5,10,13.5,5.4,21.7,1.2,1.2,
1986,5,11,15.5,10.0,21.8,,,
1986,5,12,17.2,7.4,25.2,,,
1986,5,13,15.2,13.4,19.6,30.1,30.1,
1986,5,14,16.4,11.1,21.1,3.1,3.1,
1986,5,15,13.6,9.8,17.9,,,
1986,5,16,14.9,8.8,20.4,,,
1986,5,17,18.1,7.4,27.5,,,
1986,5,18,20.1,12.7,28.0,18.0,18.0,
1986,5,19,17.0,15.9,18.2,18.5,18.5,
1986,5,20,17.7,13.6,23.1,,,
1986,5,21,15.5,9.8,20.8,,,
1986,5,22,15.6,9.6,23.5,,,
1986,5,23,18.7,9.5,27.0,,,
1986,5,24,20.3,14.5,25.8,,,
1986,5,25,19.7,13.4,25.2,,,
1986,5,26,17.0,11.6,23.0,,,
1986,5,27,17.9,12.3,25.9,,,
1986,5,28,20.0,11.7,27.9,,,
1986,5,29,18.7,16.4,21.1,8.5,8.5,
1986,5,30,20.7,13.6,29.9,,,
1986,5,31,22.2,16.1,28.9,,,
