year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2021,2,1,7.2,2.4,11.1,3.6,3.6,
2021,2,2,-1.8,-4.1,2.3,0.3,0.3,
2021,2,3,-0.8,-7.4,4.7,1.3,1.3,
2021,2,4,0.7,-2.7,4.3,0.6,0.6,
2021,2,5,2.0,-4.0,8.8,,,
2021,2,6,6.5,1.0,9.6,0.0,0.0,
2021,2,7,4.6,0.4,7.7,,,
2021,2,8,-0.9,-4.0,2.8,,,
2021,2,9,-0.4,-6.1,4.3,,,
2021,2,10,2.3,-4.5,9.1,,,
2021,2,11,4.3,-0.3,11.2,,,
2021,2,12,4.9,0.3,14.2,,,
2021,2,13,5.4,-1.0,16.4,,,
2021,2,14,8.3,2.6,15.2,0.7,0.7,
2021,2,15,2.6,-0.4,6.5,0.2,0.2,
2021,2,16,-1.3,-4.3,2.9,2.0,2.0,
2021,2,17,-5.2,-6.7,-2.8,1.7,1.7,
2021,2,18,-2.9,-6.5,0.7,,,
2021,2,19,3.1,-5.6,10.0,,,
2021,2,20,9.9,5.1,14.5,,,
2021,2,21,13.8,6.3,19.9,,,
2021,2,22,8.2,1.2,13.6,,,
2021,2,23,1.8,-2.6,7.6,,,
2021,2,24,3.0,-1.7,7.9,,,
2021,2,25,3.8,-0.6,7.2,3.4,3.4,
2021,2,26,10.0,4.9,15.8,,,
2021,2,27,9.8,6.1,15.2,,,
2021,2,28,7.9,3.8,11.7,0.0,0.0,
