year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1990,7,1,19.7,14.8,23.0,,,
1990,7,2,19.6,17.5,21.4,13.0,13.0,
1990,7,3,20.7,19.5,23.2,4.0,4.0,
1990,7,4,21.5,18.0,26.4,,,
1990,7,5,23.9,18.5,29.6,,,
1990,7,6,25.5,20.9,31.3,,,
1990,7,7,28.3,23.3,34.1,,,
1990,7,8,27.5,23.2,31.8,,,
1990,7,9,27.4,20.4,33.8,,,
1990,7,10,26.5,22.4,30.9,0.6,0.6,
1990,7,11,24.4,23.3,31.0,65.8,65.8,
1990,7,12,25.2,22.7,29.8,3.7,3.7,
1990,7,13,25.1,21.1,29.3,,,
1990,7,14,23.3,21.3,25.4,35.7,35.7,
1990,7,15,26.7,23.4,32.0,30.5,30.5,
1990,7,16,26.1,22.2,31.6,35.6,35.6,
1990,7,17,25.5,21.3,29.7,23.8,23.8,
1990,7,18,26.0,23.3,29.3,75.6,75.6,
1990,7,19,25.9,22.6,30.4,4.1,4.1,
1990,7,20,27.0,22.3,31.3,,,
1990,7,21,27.1,23.8,31.3,,,
1990,7,22,26.5,21.8,31.8,,,
1990,7,23,27.1,23.4,30.7,,,
1990,7,24,27.2,22.4,31.9,,,
1990,7,25,25.5,22.2,29.8,1.0,1.0,
1990,7,26,26.2,22.7,30.8,4.7,4.7,
1990,7,27,27.3,23.2,33.8,0.0,0.0,
1990,7,28,27.6,22.8,33.8,,,
1990,7,29,28.5,24.1,35.1,,,
1990,7,30,29.2,25.0,35.2,,,
1990,7,31,27.9,23.0,33.8,,,
