year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2000,9,1,29.2,27.3,32.3,0.0,0.0,
2000,9,2,27.8,24.9,31.8,,,
2000,9,3,23.1,21.4,26.3,23.4,23.4,
2000,9,4,23.4,19.6,28.3,,,
2000,9,5,23.5,19.2,28.9,,,
2000,9,6,24.1,19.5,29.7,1.7,1.7,
2000,9,7,22.6,20.6,25.4,0.0,0.0,
2000,9,8,20.3,19.8,21.0,0.2,0.2,
2000,9,9,20.9,19.1,23.4,1.1,1.1,
2000,9,10,20.8,19.2,23.0,0.5,0.5,
2000,9,11,19.4,18.0,21.7,6.7,6.7,
2000,9,12,19.7,16.4,22.5,12.8,12.8,
2000,9,13,16.6,15.5,17.6,118.2,118.2,
2000,9,14,18.9,16.7,20.7,47.6,47.6,
2000,9,15,20.7,19.3,22.6,13.2,13.2,
2000,9,16,21.6,19.2,23.4,52.8,52.8,
2000,9,17,22.0,17.9,26.8,,,
2000,9,18,20.0,14.8,25.4,,,
2000,9,19,19.9,13.2,26.9,,,
2000,9,20,20.2,14.0,27.6,,,
2000,9,21,19.8,15.4,23.5,0.7,0.7,
2000,9,22,20.0,19.2,21.7,2.2,2.2,
2000,9,23,21.6,18.8,26.3,,,
2000,9,24,21.8,19.1,26.1,,,
2000,9,25,21.3,18.0,25.7,,,
2000,9,26,19.5,15.2,25.4,,,
2000,9,27,18.1,12.8,24.9,,,
2000,9,28,18.5,13.3,23.4,0.0,0.0,
2000,9,29,19.9,15.9,23.7,,,
2000,9,30,21.1,18.0,25.7,0.2,0.2,
