year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2002,4,1,20.7,11.0,28.3,,,
2002,4,2,14.9,10.7,20.1,,,
2002,4,3,10.1,3.4,19.4,0.0,0.0,
2002,4,4,10.0,1.5,16.2,,,
2002,4,5,12.7,7.4,17.2,,,
2002,4,6,11.1,7.4,14.5,3.5,3.5,
2002,4,7,11.4,6.4,18.2,,,
2002,4,8,11.4,8.8,16.2,,,
2002,4,9,9.6,5.9,14.7,,,
2002,4,10,10.8,5.1,16.2,,,
2002,4,11,9.2,4.5,14.7,,,
2002,4,12,10.9,4.3,16.5,0.0,0.0,
2002,4,13,11.9,8.9,15.9,,,
2002,4,14,21.9,12.5,26.5,,,
2002,4,15,20.8,13.3,28.4,0.0,0.0,
2002,4,16,10.7,8.1,14.7,30.0,30.0,
2002,4,17,12.9,8.5,16.7,,,
2002,4,18,11.8,8.3,18.3,,,
2002,4,19,13.2,8.7,18.7,,,
2002,4,20,13.0,7.7,18.0,,,
2002,4,21,14.5,10.7,20.8,,,
2002,4,22,12.5,9.6,16.3,,,
2002,4,23,11.8,9.4,19.1,0.0,0.0,
2002,4,24,13.2,7.5,19.7,,,
2002,4,25,9.1,5.6,13.2,,,
2002,4,26,9.0,3.1,14.9,,,
2002,4,27,10.0,4.9,15.0,,,
2002,4,28,10.1,5.0,15.2,,,
2002,4,29,10.0,6.6,13.0,0.2,0.2,
2002,4,30,10.4,9.4,11.4,34.5,34.5,
