year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1992,2,1,-0.6,-6.3,5.6,,,
1992,2,2,0.0,-7.6,8.5,1.5,1.5,
1992,2,3,3.8,2.5,5.9,12.5,12.5,
1992,2,4,2.8,-2.4,8.1,,,
1992,2,5,1.2,-4.1,7.7,,,
1992,2,6,0.4,-6.4,9.0,,,
1992,2,7,-0.2,-4.9,4.1,,,
1992,2,8,-1.1,-6.3,3.9,,,
1992,2,9,-2.1,-8.5,7.5,,,
1992,2,10,-0.8,-7.9,9.0,,,
1992,2,11,0.2,-6.9,9.9,,,
1992,2,12,0.6,-6.8,11.7,,,
1992,2,13,0.6,-5.3,9.0,,,
1992,2,14,0.1,-6.6,8.7,,,
1992,2,15,2.4,-6.3,13.2,,,
1992,2,16,0.3,-5.4,5.8,,,
1992,2,17,-1.8,-9.3,8.3,,,
1992,2,18,1.1,-7.4,11.7,,,
1992,2,19,1.4,-5.2,7.5,,,
1992,2,20,-1.2,-8.7,6.1,,,
1992,2,21,-1.7,-9.4,6.4,,,
1992,2,22,-1.1,-9.1,8.8,,,
1992,2,23,-0.3,-6.7,7.5,0.0,0.0,
1992,2,24,3.6,-3.8,9.0,,,
1992,2,25,1.9,-7.4,12.5,,,
1992,2,26,4.1,-6.7,17.3,,,
1992,2,27,6.9,-5.2,20.2,,,
1992,2,28,10.7,5.2,16.5,1.5,1.5,
1992,2,29,15.8,11.1,17.6,6.0,6.0,
