year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2001,5,1,9.7,7.2,12.5,1.1,1.1,
2001,5,2,11.2,6.6,17.9,,,
2001,5,3,10.1,7.1,15.4,0.0,0.0,
2001,5,4,11.3,8.4,13.9,2.9,2.9,
2001,5,5,13.7,10.4,18.0,,,
2001,5,6,14.3,10.3,20.4,,,
2001,5,7,11.8,7.9,16.0,,,
2001,5,8,12.8,5.0,19.4,,,
2001,5,9,10.6,7.7,14.4,,,
2001,5,10,12.6,9.6,17.5,0.0,0.0,
2001,5,11,14.0,9.7,18.8,,,
2001,5,12,14.9,11.3,20.1,,,
2001,5,13,15.4,11.8,20.0,,,
2001,5,14,16.0,11.4,20.7,,,
2001,5,15,14.6,12.6,18.2,1.2,1.2,
2001,5,16,14.7,11.3,17.7,,,
2001,5,17,16.3,13.6,21.1,,,
2001,5,18,15.2,11.1,22.2,,,
2001,5,19,13.2,11.1,18.3,,,
2001,5,20,14.8,12.1,16.7,,,
2001,5,21,17.1,13.4,22.0,,,
2001,5,22,18.1,13.8,23.3,,,
2001,5,23,19.7,14.3,27.5,,,
2001,5,24,20.0,16.9,23.2,,,
2001,5,25,17.8,15.4,23.3,5.1,5.1,
2001,5,26,17.9,14.0,22.7,,,
2001,5,27,18.0,13.1,23.6,,,
2001,5,28,18.8,14.3,24.2,,,
2001,5,29,17.2,12.8,22.5,,,
2001,5,30,15.3,12.8,17.8,0.3,0.3,
2001,5,31,16.0,12.8,19.8,,,
