year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2011,4,1,8.9,-1.8,19.6,,,
2011,4,2,7.7,1.8,12.5,1.0,1.0,
2011,4,3,6.7,3.7,11.4,2.5,2.5,
2011,4,4,8.0,-0.9,16.3,,,
2011,4,5,8.7,-2.6,19.2,,,
2011,4,6,9.8,-2.0,20.4,0.2,0.2,
2011,4,7,10.9,7.8,14.0,13.0,13.0,
2011,4,8,11.3,4.2,17.7,1.0,1.0,
2011,4,9,9.1,-0.4,18.6,,,
2011,4,10,10.9,0.6,20.0,0.0,0.0,
2011,4,11,9.3,2.2,14.8,2.5,2.5,
2011,4,12,8.1,-2.6,18.7,,,
2011,4,13,9.4,-1.7,19.7,,,
2011,4,14,11.0,-0.4,21.3,,,
2011,4,15,15.4,6.6,24.4,,,
2011,4,16,12.3,2.9,20.6,,,
2011,4,17,11.8,1.6,20.2,,,
2011,4,18,7.1,5.1,10.7,0.3,0.3,
2011,4,19,8.8,2.1,15.9,,,
2011,4,20,10.2,0.6,19.0,,,
2011,4,21,11.7,1.7,19.6,,,
2011,4,22,9.9,7.8,11.4,25.5,25.5,
2011,4,23,9.7,5.3,15.1,,,
2011,4,24,8.6,0.4,14.5,1.0,1.0,
2011,4,25,11.4,4.1,18.3,0.5,0.5,
2011,4,26,10.8,8.2,15.5,1.0,1.0,
2011,4,27,11.3,6.1,16.8,3.5,3.5,
2011,4,28,9.0,3.3,15.6,,,
2011,4,29,12.0,0.0,20.1,3.5,3.5,
2011,4,30,16.5,11.9,20.2,39.0,39.0,
