year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1978,4,1,6.2,-2.7,14.2,,,
1978,4,2,7.0,2.8,16.0,1.5,1.5,
1978,4,3,5.8,1.0,9.6,,,
1978,4,4,7.9,-0.5,17.7,,,
1978,4,5,11.6,3.8,17.6,0.0,0.0,
1978,4,6,7.9,4.6,10.9,,,
1978,4,7,8.9,3.8,14.4,,,
1978,4,8,13.2,5.8,20.2,,,
1978,4,9,14.1,7.3,22.6,,,
1978,4,10,15.7,7.2,25.7,,,
1978,4,11,13.2,8.0,21.6,,,
1978,4,12,12.3,7.6,21.4,0.5,0.5,
1978,4,13,9.8,6.8,17.5,,,
1978,4,14,18.1,6.7,28.7,,,
1978,4,15,18.3,9.4,21.6,13.0,13.0,
1978,4,16,9.2,6.2,13.6,0.5,0.5,
1978,4,17,9.1,3.0,17.4,,,
1978,4,18,10.4,4.9,18.0,,,
1978,4,19,11.6,5.2,17.3,0.0,0.0,
1978,4,20,9.4,3.5,14.0,,,
1978,4,21,10.1,5.2,16.1,,,
1978,4,22,10.0,0.6,19.1,,,
1978,4,23,11.2,2.5,20.0,,,
1978,4,24,11.5,2.3,17.8,,,
1978,4,25,12.0,4.6,17.4,,,
1978,4,26,13.0,4.4,22.4,,,
1978,4,27,14.5,7.8,22.6,,,
1978,4,28,14.0,9.8,18.1,7.5,7.5,
1978,4,29,15.8,10.7,22.9,,,
1978,4,30,16.9,9.5,25.5,,,
