year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1977,12,1,0.2,-4.6,4.9,3.8,3.8,2.2
1977,12,2,2.1,-2.4,6.3,,,
1977,12,3,4.6,-0.7,10.4,0.0,0.0,
1977,12,4,6.0,1.3,12.8,,,
1977,12,5,3.8,-0.2,11.4,,,
1977,12,6,6.6,2.0,11.9,,,
1977,12,7,5.3,0.4,10.7,,,
1977,12,8,3.8,-1.5,8.6,0.0,0.0,
1977,12,9,3.3,-1.6,9.9,,,
1977,12,10,2.1,-3.4,12.0,,,
1977,12,11,5.4,-0.2,14.1,,,
1977,12,12,4.0,-0.4,13.5,,,
1977,12,13,3.1,-2.0,12.3,,,
1977,12,14,5.4,-0.5,14.5,,,
1977,12,15,5.5,-0.5,15.2,,,
1977,12,16,6.6,1.9,14.0,7.6,7.6,
1977,12,17,4.6,0.8,8.8,0.0,0.0,
1977,12,18,3.3,-2.0,10.2,,,
1977,12,19,-0.3,-4.7,4.0,,,
1977,12,20,-1.5,-6.9,5.7,1.4,1.4,
1977,12,21,-1.7,-6.1,2.6,,,
1977,12,22,-3.9,-9.9,2.3,,,
1977,12,23,-2.5,-7.3,5.2,,,
1977,12,24,0.6,-4.9,7.3,0.0,0.0,
1977,12,25,-1.8,-5.1,0.3,0.0,0.0,0.0
1977,12,26,-3.9,-8.3,3.1,,,
1977,12,27,-1.0,-5.0,4.9,0.0,0.0,
1977,12,28,0.5,-5.8,9.1,,,
1977,12,29,2.4,0.1,4.2,15.6,15.6,
1977,12,30,2.0,-1.3,5.2,0.9,0.9,
1977,12,31,4.4,2.0,6.8,10.9,10.9,
