year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2011,9,1,24.6,20.8,29.3,,,
2011,9,2,22.0,20.8,25.0,4.0,4.0,
2011,9,3,22.3,20.0,25.2,2.0,2.0,
2011,9,4,19.4,18.0,22.5,64.5,64.5,
2011,9,5,20.8,17.6,25.6,36.5,36.5,
2011,9,6,20.6,14.8,25.0,,,
2011,9,7,22.3,17.8,26.8,,,
2011,9,8,22.0,18.8,25.8,0.0,0.0,
2011,9,9,20.4,18.2,22.6,0.2,0.2,
2011,9,10,19.0,17.6,21.9,16.5,16.5,
2011,9,11,19.0,17.3,20.3,54.0,54.0,
2011,9,12,20.1,18.8,21.6,5.0,5.0,
2011,9,13,21.5,19.2,24.5,,,
2011,9,14,23.6,20.3,28.4,,,
2011,9,15,24.1,19.6,28.5,,,
2011,9,16,24.6,20.9,29.4,,,
2011,9,17,20.2,18.1,22.2,28.5,28.5,
2011,9,18,16.3,14.5,18.5,42.0,42.0,
2011,9,19,15.0,13.3,17.1,5.0,5.0,
2011,9,20,15.8,12.2,19.4,0.1,0.1,
2011,9,21,17.5,13.3,21.1,,,
2011,9,22,17.3,11.2,22.5,,,
2011,9,23,16.9,12.9,21.2,,,
2011,9,24,17.7,11.7,23.6,,,
2011,9,25,19.6,15.4,25.0,,,
2011,9,26,18.9,13.4,25.3,,,
2011,9,27,17.3,11.1,22.9,,,
2011,9,28,17.7,12.2,21.8,,,
2011,9,29,15.7,14.2,18.1,24.0,24.0,
2011,9,30,16.6,13.0,22.6,1.4,1.4,
