year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2022,5,1,11.5,2.4,19.3,,,
2022,5,2,11.3,3.4,19.2,,,
2022,5,3,12.2,2.7,21.8,,,
2022,5,4,15.5,4.1,26.0,,,
2022,5,5,16.8,7.4,26.3,,,
2022,5,6,17.9,8.4,25.9,,,
2022,5,7,18.2,13.9,23.1,0.0,0.0,
2022,5,8,12.9,9.6,16.4,2.8,2.8,
2022,5,9,15.0,7.5,24.9,,,
2022,5,10,16.0,6.8,25.4,,,
2022,5,11,18.7,12.3,25.8,0.0,0.0,
2022,5,12,19.1,11.3,27.2,,,
2022,5,13,15.9,9.4,22.1,0.0,0.0,
2022,5,14,13.5,4.9,21.2,,,
2022,5,15,13.7,4.5,21.9,,,
2022,5,16,15.4,4.9,24.1,,,
2022,5,17,17.2,8.5,26.4,0.0,0.0,
2022,5,18,18.7,10.6,25.7,0.2,0.2,
2022,5,19,18.9,11.8,25.6,,,
2022,5,20,18.5,10.0,26.5,,,
2022,5,21,19.5,10.9,26.9,,,
2022,5,22,18.6,13.0,25.3,,,
2022,5,23,21.1,12.7,29.9,,,
2022,5,24,22.0,14.3,30.7,,,
2022,5,25,19.6,12.0,28.0,4.6,4.6,
2022,5,26,18.2,11.9,23.7,,,
2022,5,27,19.5,15.4,24.8,,,
2022,5,28,20.0,10.5,30.1,,,
2022,5,29,20.7,11.4,28.7,,,
2022,5,30,18.7,14.9,22.9,0.5,0.5,
2022,5,31,18.1,9.9,27.7,,,
