year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2004,5,1,15.9,11.4,23.9,,,
2004,5,2,14.4,10.6,20.1,1.0,1.0,
2004,5,3,16.5,14.5,20.1,5.5,5.5,
2004,5,4,14.2,9.7,21.1,0.5,0.5,
2004,5,5,17.3,8.6,24.6,,,
2004,5,6,19.3,13.8,25.8,,,
2004,5,7,17.8,7.3,27.4,,,
2004,5,8,15.6,9.0,21.4,2.5,2.5,
2004,5,9,14.2,12.4,15.4,36.0,36.0,
2004,5,10,17.2,15.0,21.5,10.5,10.5,
2004,5,11,19.3,14.2,25.2,,,
2004,5,12,16.2,13.7,18.0,7.5,7.5,
2004,5,13,17.7,13.9,21.8,2.0,2.0,
2004,5,14,19.4,12.0,26.8,,,
2004,5,15,14.3,13.3,17.2,2.0,2.0,
2004,5,16,17.0,13.1,21.8,,,
2004,5,17,16.5,13.0,20.5,,,
2004,5,18,19.3,9.5,27.3,,,
2004,5,19,20.9,15.7,26.7,,,
2004,5,20,19.1,10.9,28.2,19.5,19.5,
2004,5,21,17.8,14.4,23.0,5.5,5.5,
2004,5,22,18.7,11.6,24.7,,,
2004,5,23,18.2,13.7,23.7,,,
2004,5,24,19.5,13.0,26.9,,,
2004,5,25,20.9,12.5,28.3,,,
2004,5,26,18.5,15.2,23.3,,,
2004,5,27,21.5,15.6,28.5,0.0,0.0,
2004,5,28,22.0,19.0,27.1,21.5,21.5,
2004,5,29,23.7,19.4,28.9,1.0,1.0,
2004,5,30,20.9,15.9,28.0,1.0,1.0,
2004,5,31,20.9,15.7,26.7,0.0,0.0,
