year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1995,8,1,28.1,26.6,30.6,9.3,9.3,
1995,8,2,28.4,26.6,30.6,,,
1995,8,3,28.6,26.4,30.8,0.0,0.0,
1995,8,4,28.7,26.1,31.1,,,
1995,8,5,28.6,26.1,30.7,,,
1995,8,6,27.9,26.4,30.7,3.6,3.6,
1995,8,7,28.7,27.1,30.9,0.0,0.0,
1995,8,8,28.6,27.2,30.4,,,
1995,8,9,28.1,26.5,30.2,2.5,2.5,
1995,8,10,27.7,26.2,30.8,1.0,1.0,
1995,8,11,28.4,26.3,30.5,0.4,0.4,
1995,8,12,28.8,26.9,30.5,,,
1995,8,13,28.7,26.5,31.5,,,
1995,8,14,28.5,26.1,31.1,,,
1995,8,15,28.4,25.6,31.0,,,
1995,8,16,28.9,25.9,31.3,,,
1995,8,17,28.7,25.9,31.9,0.0,0.0,
1995,8,18,29.5,27.0,31.8,1.3,1.3,
1995,8,19,27.5,26.0,31.3,17.3,17.3,
1995,8,20,25.8,24.0,27.5,154.2,154.2,
1995,8,21,25.6,23.9,28.4,28.5,28.5,
1995,8,22,27.0,23.6,30.0,10.0,10.0,
1995,8,23,28.3,25.6,30.7,4.4,4.4,
1995,8,24,29.2,27.9,30.3,13.7,13.7,
1995,8,25,29.2,27.4,31.0,4.0,4.0,
1995,8,26,27.0,23.9,29.4,18.4,18.4,
1995,8,27,25.4,22.7,29.1,,,
1995,8,28,25.9,22.2,28.9,,,
1995,8,29,26.1,22.9,28.3,28.3,28.3,
1995,8,30,28.2,25.7,30.9,,,
1995,8,31,27.6,26.5,29.6,0.0,0.0,
