year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2000,8,1,23.9,18.1,30.1,,,
2000,8,2,25.9,19.9,32.3,,,
2000,8,3,26.4,21.2,31.9,0.3,0.3,
2000,8,4,23.5,21.9,25.9,19.7,19.7,
2000,8,5,26.2,23.4,30.5,0.1,0.1,
2000,8,6,25.0,23.2,27.7,0.2,0.2,
2000,8,7,26.1,22.2,30.5,,,
2000,8,8,26.3,23.2,32.2,0.0,0.0,
2000,8,9,26.0,21.3,32.2,0.9,0.9,
2000,8,10,27.1,22.6,32.1,,,
2000,8,11,26.7,21.9,32.0,,,
2000,8,12,26.4,21.8,31.6,,,
2000,8,13,25.8,22.5,32.0,27.0,27.0,
2000,8,14,26.3,22.5,30.5,,,
2000,8,15,26.1,22.1,31.2,1.0,1.0,
2000,8,16,25.8,22.3,32.0,0.2,0.2,
2000,8,17,26.9,22.1,32.6,,,
2000,8,18,26.7,23.9,31.8,4.0,4.0,
2000,8,19,25.3,23.5,28.5,0.5,0.5,
2000,8,20,22.2,20.6,24.0,94.5,94.5,
2000,8,21,22.3,19.7,26.5,14.5,14.5,
2000,8,22,23.6,18.9,28.4,,,
2000,8,23,23.5,17.7,29.6,25.6,25.6,
2000,8,24,21.8,21.0,23.3,103.0,103.0,
2000,8,25,22.5,20.6,24.9,63.5,63.5,
2000,8,26,22.0,20.6,24.1,164.0,164.0,
2000,8,27,24.8,23.0,27.4,21.9,21.9,
2000,8,28,26.3,23.6,30.4,6.9,6.9,
2000,8,29,26.2,22.7,32.7,,,
2000,8,30,27.6,22.7,32.4,,,
2000,8,31,24.7,23.1,26.1,60.3,60.3,
