year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2008,1,1,-6.3,-8.5,-3.2,,,
2008,1,2,-3.4,-7.4,0.8,,,
2008,1,3,0.9,-3.0,6.6,,,
2008,1,4,-0.3,-4.0,3.7,,,
2008,1,5,1.6,-2.4,6.1,,,
2008,1,6,4.1,0.6,7.3,,,
2008,1,7,2.8,0.4,6.4,,,
2008,1,8,1.8,-1.8,5.6,,,
2008,1,9,0.9,-1.3,3.7,,,
2008,1,10,0.1,-3.5,4.3,,,
2008,1,11,0.6,-1.7,2.0,6.7,6.7,6.1
2008,1,12,0.9,-4.5,4.4,,,
2008,1,13,-4.3,-8.5,-1.1,,,
2008,1,14,-2.7,-5.1,1.5,,,
2008,1,15,-4.2,-7.1,-0.4,,,
2008,1,16,-7.1,-9.5,-3.0,,,
2008,1,17,-7.2,-11.1,-3.9,,,
2008,1,18,-4.8,-8.6,-0.7,,,
2008,1,19,-2.2,-6.9,1.5,,,
2008,1,20,2.3,-1.6,5.3,,,
2008,1,21,1.3,-0.7,3.8,4.5,4.5,5.8
2008,1,22,0.7,-0.3,1.5,6.5,6.5,3.8
2008,1,23,-2.8,-8.3,0.8,,,
2008,1,24,-7.5,-10.9,-3.7,,,
2008,1,25,-5.9,-9.7,-1.6,,,
2008,1,26,-2.7,-7.0,1.8,,,
2008,1,27,-1.4,-5.8,4.4,,,
2008,1,28,-0.8,-3.2,2.3,,,
2008,1,29,-0.2,-2.9,3.5,,,
2008,1,30,-2.2,-5.0,0.0,0.0,0.0,
2008,1,31,-4.2,-6.9,-0.5,,,
