year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2021,7,1,25.9,20.5,31.5,,,
2021,7,2,26.5,22.0,31.6,,,
2021,7,3,23.0,20.8,26.5,60.3,60.3,
2021,7,4,22.5,20.9,24.0,7.3,7.3,
2021,7,5,22.1,19.9,26.2,3.2,3.2,
2021,7,6,23.4,20.7,26.3,9.1,9.1,
2021,7,7,25.2,22.8,28.2,27.5,27.5,
2021,7,8,25.4,22.0,31.1,27.1,27.1,
2021,7,9,25.1,22.3,29.8,10.1,10.1,
2021,7,10,26.3,22.5,30.3,,,
2021,7,11,25.7,23.4,30.0,0.3,0.3,
2021,7,12,27.3,22.9,33.5,,,
2021,7,13,28.3,24.3,32.8,,,
2021,7,14,28.2,24.1,32.5,,,
2021,7,15,28.4,24.3,34.5,,,
2021,7,16,27.1,22.9,33.6,0.0,0.0,
2021,7,17,26.5,22.2,32.0,,,
2021,7,18,26.2,22.8,32.5,18.8,18.8,
2021,7,19,26.1,22.7,32.2,3.6,3.6,
2021,7,20,26.9,23.5,30.5,,,
2021,7,21,28.9,23.1,34.3,,,
2021,7,22,28.5,23.5,33.2,,,
2021,7,23,29.0,24.0,34.3,,,
2021,7,24,29.4,25.0,34.5,,,
2021,7,25,28.9,24.8,32.4,,,
2021,7,26,29.1,24.0,34.0,,,
2021,7,27,29.3,23.2,34.5,,,
2021,7,28,29.3,25.2,34.8,,,
2021,7,29,28.8,24.1,34.1,,,
2021,7,30,29.2,24.6,34.4,,,
2021,7,31,28.4,24.9,33.8,13.4,13.4,
