year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1981,7,1,22.9,22.5,24.6,123.2,123.2,
1981,7,2,23.3,22.4,24.4,29.3,29.3,
1981,7,3,22.5,21.8,23.7,16.7,16.7,
1981,7,4,24.6,21.0,29.4,9.8,9.8,
1981,7,5,23.8,23.0,25.2,16.4,16.4,
1981,7,6,23.1,20.6,26.4,85.2,85.2,
1981,7,7,22.6,20.2,27.3,,,
1981,7,8,23.4,19.7,27.0,1.4,1.4,
1981,7,9,22.9,20.1,25.6,25.8,25.8,
1981,7,10,22.8,18.7,28.1,,,
1981,7,11,22.3,19.5,26.3,39.2,39.2,
1981,7,12,22.3,19.8,26.0,87.5,87.5,
1981,7,13,23.7,20.9,26.9,0.0,0.0,
1981,7,14,25.2,21.9,29.5,,,
1981,7,15,26.4,23.3,29.1,,,
1981,7,16,27.1,23.9,31.4,3.2,3.2,
1981,7,17,27.1,24.8,30.5,1.9,1.9,
1981,7,18,27.3,24.2,31.3,,,
1981,7,19,26.2,23.5,30.7,,,
1981,7,20,25.6,22.8,30.6,,,
1981,7,21,25.5,23.2,28.6,,,
1981,7,22,25.9,22.8,30.5,,,
1981,7,23,26.2,24.1,30.7,,,
1981,7,24,26.5,22.2,31.8,,,
1981,7,25,28.6,23.9,33.7,,,
1981,7,26,28.7,24.3,34.9,7.1,7.1,
1981,7,27,26.4,24.2,30.2,6.5,6.5,
1981,7,28,27.2,23.1,32.0,23.3,23.3,
1981,7,29,27.7,25.1,30.8,2.0,2.0,
1981,7,30,28.7,24.0,33.3,,,
1981,7,31,29.9,23.8,34.5,,,
