year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2017,2,1,-3.3,-6.9,2.1,,,
2017,2,2,-3.4,-10.7,4.9,,,
2017,2,3,-0.9,-8.7,7.2,,,
2017,2,4,3.7,-2.9,10.8,0.0,0.0,
2017,2,5,2.8,1.6,4.3,1.5,1.5,
2017,2,6,-1.1,-4.7,1.8,,,
2017,2,7,-1.4,-6.4,7.1,,,
2017,2,8,-0.5,-4.3,4.0,,,
2017,2,9,-3.9,-6.3,-1.1,0.5,0.5,
2017,2,10,-5.7,-8.0,-3.5,0.0,0.0,
2017,2,11,-4.4,-8.5,-1.5,0.0,0.0,
2017,2,12,-2.0,-6.4,3.2,0.0,0.0,
2017,2,13,-0.4,-9.1,6.0,,,
2017,2,14,0.8,-4.5,6.1,,,
2017,2,15,0.5,-8.5,11.7,,,
2017,2,16,4.8,-7.1,12.7,8.0,8.0,
2017,2,17,3.3,-4.2,11.1,0.5,0.5,
2017,2,18,-2.3,-6.6,3.1,,,
2017,2,19,1.9,-9.1,9.8,0.0,0.0,
2017,2,20,1.1,-4.7,10.9,11.5,11.5,
2017,2,21,-0.3,-8.9,9.3,,,
2017,2,22,2.8,-0.3,5.7,25.5,25.5,
2017,2,23,-0.8,-3.3,2.3,,,
2017,2,24,-1.9,-7.2,4.5,,,
2017,2,25,0.5,-5.8,7.8,,,
2017,2,26,0.8,-5.6,8.4,,,
2017,2,27,,-5.4,8.6,,,
2017,2,28,2.5,-6.5,12.8,,,
