year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2016,3,1,-0.9,-7.0,5.2,,,
2016,3,2,2.8,-5.8,13.0,,,
2016,3,3,7.2,-3.3,16.2,,,
2016,3,4,11.1,8.4,13.0,33.4,33.4,
2016,3,5,14.6,12.2,16.9,86.6,86.6,
2016,3,6,12.9,5.6,19.0,1.6,1.6,
2016,3,7,10.8,3.6,17.6,,,
2016,3,8,7.1,1.2,11.9,11.1,11.1,
2016,3,9,3.3,0.4,9.0,2.6,2.6,
2016,3,10,1.3,-1.4,6.2,,,
2016,3,11,1.0,-2.4,5.6,,,
2016,3,12,3.4,-4.6,10.1,,,
2016,3,13,3.9,0.3,8.4,0.0,0.0,
2016,3,14,5.0,-0.6,10.7,,,
2016,3,15,6.5,-2.4,14.8,,,
2016,3,16,9.1,2.0,17.7,,,
2016,3,17,9.8,-0.6,19.4,,,
2016,3,18,11.8,8.3,14.6,18.4,18.4,
2016,3,19,13.1,7.4,20.3,,,
2016,3,20,9.7,3.9,16.7,,,
2016,3,21,8.4,1.8,16.9,,,
2016,3,22,10.5,0.6,19.1,,,
2016,3,23,9.4,4.5,16.4,,,
2016,3,24,7.1,-0.3,14.3,0.0,0.0,
2016,3,25,5.3,0.2,11.8,0.0,0.0,
2016,3,26,5.5,-2.1,12.1,,,
2016,3,27,7.9,2.6,14.9,,,
2016,3,28,9.5,-1.8,19.3,,,
2016,3,29,9.2,1.6,16.4,,,
2016,3,30,12.6,3.6,23.5,,,
2016,3,31,12.0,3.9,20.9,,,
