year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2010,3,1,7.2,5.3,9.7,12.0,12.0,
2010,3,2,8.1,5.6,11.2,,,
2010,3,3,7.4,2.4,11.9,,,
2010,3,4,8.0,6.4,9.1,9.5,9.5,
2010,3,5,9.3,7.2,11.9,1.5,1.5,
2010,3,6,7.7,4.0,10.6,1.0,1.0,
2010,3,7,5.2,3.5,7.3,0.5,0.5,
2010,3,8,5.1,3.2,7.5,0.2,0.2,
2010,3,9,3.9,1.9,6.5,6.0,6.0,
2010,3,10,0.9,-1.7,4.4,6.0,6.0,4.2
2010,3,11,4.0,-1.4,8.9,,,
2010,3,12,10.2,2.5,14.8,,,
2010,3,13,11.1,7.2,17.1,,,
2010,3,14,10.3,4.9,13.2,,,
2010,3,15,13.2,9.2,17.4,24.0,24.0,
2010,3,16,6.7,2.8,10.9,,,
2010,3,17,5.3,-0.2,10.1,,,
2010,3,18,5.7,2.0,9.9,1.5,1.5,
2010,3,19,7.9,-0.9,13.2,,,
2010,3,20,15.9,11.8,19.8,0.3,0.3,
2010,3,21,7.7,4.6,11.8,,,
2010,3,22,8.0,3.8,12.6,0.5,0.5,
2010,3,23,8.5,5.9,11.7,4.5,4.5,
2010,3,24,9.5,8.0,12.3,,,
2010,3,25,7.1,3.7,10.0,4.0,4.0,
2010,3,26,4.8,1.1,9.7,,,
2010,3,27,6.9,-0.6,12.0,,,
2010,3,28,9.0,4.8,15.6,,,
2010,3,29,6.9,0.8,14.4,,,
2010,3,30,8.7,4.4,12.4,,,
2010,3,31,10.0,6.9,13.2,25.5,25.5,
