year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2004,3,1,3.3,-1.8,9.6,,,
2004,3,2,-1.7,-4.8,2.2,,,
2004,3,3,-4.9,-8.6,-0.3,,,
2004,3,4,-3.1,-9.5,2.9,7.2,7.2,7.6
2004,3,5,-2.6,-5.1,-0.9,28.5,28.5,20.5
2004,3,6,-5.5,-9.5,-2.3,0.1,0.1,0.3
2004,3,7,-6.5,-15.5,0.0,,,
2004,3,8,-1.3,-10.9,4.8,,,
2004,3,9,2.8,-3.4,10.8,,,
2004,3,10,6.9,-3.2,14.9,,,
2004,3,11,5.3,0.8,9.2,,,
2004,3,12,4.4,-2.2,11.8,,,
2004,3,13,4.4,-3.5,12.6,,,
2004,3,14,4.8,-0.5,12.2,,,
2004,3,15,5.7,-2.0,15.3,,,
2004,3,16,9.8,-1.3,20.3,,,
2004,3,17,7.3,0.1,14.7,3.0,3.0,
2004,3,18,1.6,-3.5,8.5,,,
2004,3,19,1.9,-6.5,10.2,,,
2004,3,20,4.9,-3.2,13.8,,,
2004,3,21,7.8,-1.0,17.5,,,
2004,3,22,9.9,5.0,17.0,,,
2004,3,23,7.7,-0.8,16.4,,,
2004,3,24,6.1,-1.1,13.6,,,
2004,3,25,6.3,0.3,13.8,,,
2004,3,26,7.2,-2.6,17.0,,,
2004,3,27,7.9,-2.4,17.4,,,
2004,3,28,9.8,-2.7,20.8,,,
2004,3,29,12.5,4.5,19.3,,,
2004,3,30,10.5,3.7,15.9,1.5,1.5,
2004,3,31,6.3,-2.7,13.9,,,
