year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2018,7,1,20.7,19.1,24.0,121.0,121.0,
2018,7,2,20.7,19.3,22.0,70.5,70.5,
2018,7,3,23.2,21.0,27.0,8.0,8.0,
2018,7,4,26.0,21.7,31.6,0.5,0.5,
2018,7,5,21.8,20.1,24.7,7.5,7.5,
2018,7,6,21.5,17.4,26.8,0.5,0.5,
2018,7,7,20.2,14.8,26.3,,,
2018,7,8,19.0,13.1,23.8,,,
2018,7,9,18.5,17.8,20.1,25.5,25.5,
2018,7,10,22.8,18.0,28.1,0.5,0.5,
2018,7,11,25.6,22.4,29.8,,,
2018,7,12,26.7,22.4,30.8,,,
2018,7,13,27.4,22.7,32.3,,,
2018,7,14,27.6,21.5,33.5,,,
2018,7,15,27.4,21.5,33.5,,,
2018,7,16,28.0,20.6,34.0,,,
2018,7,17,28.2,22.4,33.3,,,
2018,7,18,27.4,20.1,34.2,,,
2018,7,19,27.7,21.3,33.7,,,
2018,7,20,28.0,21.1,35.8,,,
2018,7,21,29.1,22.4,36.2,,,
2018,7,22,29.3,23.3,36.3,,,
2018,7,23,29.2,24.1,36.3,,,
2018,7,24,29.8,23.3,37.5,,,
2018,7,25,30.0,25.0,35.5,,,
2018,7,26,30.0,24.3,35.3,,,
2018,7,27,29.7,23.4,37.4,,,
2018,7,28,27.6,23.7,33.0,0.2,0.2,
2018,7,29,27.4,21.8,34.1,,,
2018,7,30,27.6,22.5,34.7,,,
2018,7,31,28.0,20.1,37.0,,,
