year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2012,7,1,24.6,19.7,30.1,1.0,1.0,
2012,7,2,25.0,17.8,31.4,,,
2012,7,3,26.6,20.3,32.7,,,
2012,7,4,28.1,22.5,33.5,0.0,0.0,
2012,7,5,24.4,23.1,26.5,26.5,26.5,
2012,7,6,24.2,20.9,27.8,25.5,25.5,
2012,7,7,21.7,19.7,25.9,4.5,4.5,
2012,7,8,24.0,19.2,31.7,,,
2012,7,9,25.1,18.1,32.2,,,
2012,7,10,24.9,21.8,29.0,0.5,0.5,
2012,7,11,24.6,22.5,28.1,38.5,38.5,
2012,7,12,26.1,22.0,31.3,,,
2012,7,13,24.4,22.2,30.4,55.5,55.5,
2012,7,14,22.4,19.7,25.7,21.5,21.5,
2012,7,15,21.9,19.5,24.7,43.5,43.5,
2012,7,16,21.8,20.7,24.4,0.5,0.5,
2012,7,17,21.9,19.9,23.9,5.5,5.5,
2012,7,18,23.9,21.6,26.1,14.0,14.0,
2012,7,19,27.5,23.7,31.9,2.5,2.5,
2012,7,20,27.3,23.2,31.7,,,
2012,7,21,24.5,21.4,28.9,,,
2012,7,22,24.6,22.1,28.6,,,
2012,7,23,28.3,22.2,34.2,,,
2012,7,24,29.4,24.3,35.9,,,
2012,7,25,29.3,23.5,35.4,,,
2012,7,26,29.4,23.5,36.0,,,
2012,7,27,29.3,23.7,35.0,,,
2012,7,28,29.1,24.1,35.4,,,
2012,7,29,29.7,22.2,36.4,0.0,0.0,
2012,7,30,30.2,24.4,35.9,,,
2012,7,31,30.3,24.7,36.9,,,
