year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1976,5,1,11.9,9.2,15.6,,,
1976,5,2,12.2,9.1,15.2,1.0,1.0,
1976,5,3,14.2,10.6,19.1,,,
1976,5,4,13.4,8.8,18.0,,,
1976,5,5,12.3,7.6,17.3,,,
1976,5,6,13.9,8.3,20.1,,,
1976,5,7,14.5,9.1,20.5,,,
1976,5,8,14.0,9.3,18.6,,,
1976,5,9,13.6,8.6,19.4,,,
1976,5,10,15.3,9.3,20.4,,,
1976,5,11,16.6,15.6,18.2,10.5,10.5,
1976,5,12,16.1,11.5,19.9,,,
1976,5,13,15.2,9.3,19.8,,,
1976,5,14,15.7,9.5,21.1,,,
1976,5,15,14.8,9.1,19.4,2.5,2.5,
1976,5,16,16.7,12.2,21.2,3.0,3.0,
1976,5,17,16.5,11.2,22.8,,,
1976,5,18,14.1,9.9,18.2,58.9,58.9,
1976,5,19,14.9,12.6,18.1,2.5,2.5,
1976,5,20,15.7,14.3,17.3,58.0,58.0,
1976,5,21,18.4,14.8,23.8,1.0,1.0,
1976,5,22,16.5,14.3,19.6,1.0,1.0,
1976,5,23,17.2,12.7,24.0,,,
1976,5,24,17.6,14.0,21.8,,,
1976,5,25,19.5,17.6,23.3,10.0,10.0,
1976,5,26,19.4,17.8,22.0,,,
1976,5,27,20.0,16.3,24.2,,,
1976,5,28,18.7,16.0,20.8,,,
1976,5,29,17.8,16.4,19.4,13.8,13.8,
1976,5,30,18.2,16.3,21.5,2.5,2.5,
1976,5,31,18.6,14.8,22.6,,,
