year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1993,8,1,23.3,21.0,26.4,,,
1993,8,2,19.9,18.4,21.0,37.0,37.0,
1993,8,3,18.7,16.9,21.1,6.2,6.2,
1993,8,4,19.6,17.5,22.2,1.2,1.2,
1993,8,5,19.1,17.4,22.0,,,
1993,8,6,19.2,17.2,22.4,0.0,0.0,
1993,8,7,19.1,17.8,21.8,1.5,1.5,
1993,8,8,19.3,17.9,21.2,153.4,153.4,
1993,8,9,20.7,20.0,21.7,4.4,4.4,
1993,8,10,20.6,20.0,22.3,197.7,197.7,
1993,8,11,20.5,18.2,23.7,,,
1993,8,12,21.4,18.1,25.8,0.5,0.5,
1993,8,13,21.1,19.5,23.2,11.7,11.7,
1993,8,14,20.7,18.8,23.3,,,
1993,8,15,19.9,18.5,21.2,12.7,12.7,
1993,8,16,20.5,18.3,22.8,1.5,1.5,
1993,8,17,22.6,17.8,25.6,0.5,0.5,
1993,8,18,21.8,19.1,24.9,0.0,0.0,
1993,8,19,20.8,18.1,24.5,,,
1993,8,20,19.7,16.5,23.6,0.3,0.3,
1993,8,21,19.0,17.2,20.5,40.6,40.6,
1993,8,22,20.2,18.0,23.0,,,
1993,8,23,20.9,16.5,23.3,,,
1993,8,24,26.2,20.7,32.3,,,
1993,8,25,25.2,21.0,28.9,1.4,1.4,
1993,8,26,19.1,18.5,21.0,23.4,23.4,
1993,8,27,19.9,15.4,23.3,,,
1993,8,28,20.6,16.4,24.8,,,
1993,8,29,20.6,16.2,24.8,,,
1993,8,30,20.2,14.8,26.8,,,
1993,8,31,21.6,15.4,25.8,,,
