year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1999,7,1,23.0,18.6,27.7,,,
1999,7,2,22.8,19.9,26.7,,,
1999,7,3,24.0,17.0,30.3,,,
1999,7,4,22.9,19.4,29.6,20.0,20.0,
1999,7,5,23.5,18.4,29.7,,,
1999,7,6,24.5,17.5,30.8,,,
1999,7,7,24.2,20.1,29.7,,,
1999,7,8,24.0,18.5,29.1,,,
1999,7,9,22.7,19.9,25.9,10.0,10.0,
1999,7,10,21.0,18.0,25.4,7.0,7.0,
1999,7,11,22.0,16.1,28.9,,,
1999,7,12,21.6,15.1,27.5,,,
1999,7,13,24.4,18.7,29.8,,,
1999,7,14,24.6,18.8,31.7,1.5,1.5,
1999,7,15,21.5,18.5,25.7,2.0,2.0,
1999,7,16,24.2,21.2,29.8,,,
1999,7,17,25.1,20.9,30.8,,,
1999,7,18,24.7,19.9,30.2,,,
1999,7,19,26.0,20.9,33.0,7.5,7.5,
1999,7,20,27.2,20.9,34.3,,,
1999,7,21,27.5,23.1,33.6,8.0,8.0,
1999,7,22,25.2,23.1,27.9,14.0,14.0,
1999,7,23,25.8,23.1,30.2,15.0,15.0,
1999,7,24,26.0,22.4,31.0,,,
1999,7,25,26.8,23.6,31.4,3.5,3.5,
1999,7,26,27.7,22.2,33.6,0.0,0.0,
1999,7,27,26.8,24.5,29.1,0.0,0.0,
1999,7,28,24.2,23.4,26.2,80.5,80.5,
1999,7,29,24.3,23.3,25.9,42.0,42.0,
1999,7,30,26.5,23.8,31.7,68.5,68.5,
1999,7,31,26.0,24.5,27.2,0.5,0.5,
