year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1975,7,1,20.6,17.0,25.7,0.0,0.0,
1975,7,2,21.5,17.0,27.3,,,
1975,7,3,21.7,18.0,27.1,,,
1975,7,4,23.0,18.1,29.1,,,
1975,7,5,23.9,19.2,28.7,,,
1975,7,6,20.6,18.1,23.1,36.2,36.2,
1975,7,7,17.9,15.1,21.3,7.8,7.8,
1975,7,8,20.2,13.7,26.3,,,
1975,7,9,22.4,18.0,27.7,0.0,0.0,
1975,7,10,21.7,19.8,25.0,56.6,56.6,
1975,7,11,21.3,19.2,24.9,1.0,1.0,
1975,7,12,22.4,18.1,28.8,,,
1975,7,13,23.8,17.2,30.4,,,
1975,7,14,24.6,19.5,30.9,,,
1975,7,15,24.3,21.5,27.2,88.4,88.4,
1975,7,16,23.8,20.3,28.7,24.9,24.9,
1975,7,17,24.0,20.0,29.4,,,
1975,7,18,24.7,20.3,30.5,,,
1975,7,19,26.2,21.7,32.0,,,
1975,7,20,26.8,23.0,32.0,,,
1975,7,21,26.0,21.5,31.5,4.2,4.2,
1975,7,22,26.3,23.3,30.9,0.2,0.2,
1975,7,23,26.4,23.8,31.3,0.0,0.0,
1975,7,24,24.1,22.5,26.8,51.9,51.9,
1975,7,25,21.0,20.4,24.3,80.6,80.6,
1975,7,26,21.4,19.5,24.8,18.0,18.0,
1975,7,27,21.6,19.4,25.5,69.9,69.9,
1975,7,28,21.2,20.5,22.2,79.3,79.3,
1975,7,29,23.9,19.6,31.6,0.4,0.4,
1975,7,30,26.7,21.9,33.5,,,
1975,7,31,24.9,22.6,28.3,2.8,2.8,
