year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2020,9,1,24.1,19.1,29.3,0.0,0.0,
2020,9,2,22.9,22.1,24.8,60.0,60.0,
2020,9,3,21.7,19.0,24.6,83.1,83.1,
2020,9,4,21.0,16.7,26.5,,,
2020,9,5,18.7,16.2,23.5,0.1,0.1,
2020,9,6,18.4,16.4,20.5,14.1,14.1,
2020,9,7,18.5,16.1,20.2,76.0,76.0,
2020,9,8,21.2,17.9,25.0,9.9,9.9,
2020,9,9,19.7,16.8,24.8,12.7,12.7,
2020,9,10,19.4,16.3,25.0,0.1,0.1,
2020,9,11,19.1,16.8,21.6,4.0,4.0,
2020,9,12,18.6,16.3,22.0,1.8,1.8,
2020,9,13,18.4,16.1,23.0,0.3,0.3,
2020,9,14,18.7,15.6,24.6,,,
2020,9,15,20.1,15.3,26.4,0.0,0.0,
2020,9,16,20.2,17.6,22.9,4.3,4.3,
2020,9,17,18.2,15.6,22.4,1.3,1.3,
2020,9,18,16.3,10.1,22.0,0.5,0.5,
2020,9,19,15.5,8.9,22.7,0.0,0.0,
2020,9,20,14.3,7.1,22.6,,,
2020,9,21,14.0,8.6,22.1,,,
2020,9,22,14.4,10.3,21.1,,,
2020,9,23,15.5,9.5,21.0,,,
2020,9,24,16.2,11.7,23.5,,,
2020,9,25,15.7,10.4,24.1,,,
2020,9,26,15.8,11.5,23.8,,,
2020,9,27,15.1,8.4,23.3,,,
2020,9,28,13.8,7.5,23.3,,,
2020,9,29,13.5,5.9,23.1,,,
2020,9,30,15.1,9.2,23.4,,,
