year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1999,7,1,20.4,19.0,21.8,74.0,74.0,
1999,7,2,20.5,19.2,21.7,52.5,52.5,
1999,7,3,22.6,20.2,26.3,,,
1999,7,4,22.2,19.2,28.0,,,
1999,7,5,21.2,19.9,24.5,0.0,0.0,
1999,7,6,21.6,18.5,25.3,,,
1999,7,7,22.1,19.2,25.3,,,
1999,7,8,23.5,21.0,26.7,,,
1999,7,9,21.1,20.4,22.0,44.5,44.5,
1999,7,10,22.0,19.4,24.4,1.0,1.0,
1999,7,11,21.7,18.5,26.0,0.5,0.5,
1999,7,12,21.8,15.9,26.8,,,
1999,7,13,22.8,19.3,28.0,,,
1999,7,14,23.8,19.2,28.9,,,
1999,7,15,23.5,19.7,29.1,0.5,0.5,
1999,7,16,24.4,19.4,30.2,,,
1999,7,17,23.2,19.3,29.1,,,
1999,7,18,24.2,19.6,30.0,,,
1999,7,19,23.7,19.0,28.6,,,
1999,7,20,23.3,20.5,25.6,1.0,1.0,
1999,7,21,26.3,23.3,30.6,1.0,1.0,
1999,7,22,25.4,24.4,28.4,2.5,2.5,
1999,7,23,25.2,22.7,28.6,16.0,16.0,
1999,7,24,24.4,22.3,27.5,0.0,0.0,
1999,7,25,25.6,22.9,29.1,,,
1999,7,26,25.9,23.1,29.2,0.5,0.5,
1999,7,27,23.9,22.6,26.8,121.5,121.5,
1999,7,28,24.0,22.9,25.8,9.0,9.0,
1999,7,29,23.9,21.8,25.8,28.0,28.0,
1999,7,30,24.1,23.3,24.8,109.5,109.5,
1999,7,31,25.4,23.4,27.3,4.5,4.5,
