year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2017,7,1,26.0,22.3,29.1,1.8,1.8,
2017,7,2,27.0,24.9,29.5,8.3,8.3,
2017,7,3,26.8,24.0,30.1,12.7,12.7,
2017,7,4,25.5,24.4,28.0,2.3,2.3,
2017,7,5,26.9,24.0,32.2,0.0,0.0,
2017,7,6,26.4,23.9,31.3,2.1,2.1,
2017,7,7,27.4,24.1,30.2,1.3,1.3,
2017,7,8,26.2,22.8,29.4,37.6,37.6,
2017,7,9,27.0,23.1,33.1,16.6,16.6,
2017,7,10,27.3,24.7,29.9,12.2,12.2,
2017,7,11,26.4,23.6,30.9,3.5,3.5,
2017,7,12,27.2,24.0,32.0,,,
2017,7,13,27.4,23.1,31.7,,,
2017,7,14,26.8,23.2,32.9,1.9,1.9,
2017,7,15,24.3,21.6,27.1,58.5,58.5,
2017,7,16,27.5,25.3,31.0,,,
2017,7,17,24.9,21.9,29.4,9.5,9.5,
2017,7,18,24.9,22.5,27.7,1.3,1.3,
2017,7,19,27.3,23.9,32.0,0.0,0.0,
2017,7,20,28.8,24.7,34.1,,,
2017,7,21,29.7,26.5,34.3,,,
2017,7,22,29.2,26.7,32.4,,,
2017,7,23,28.5,26.5,31.0,0.0,0.0,
2017,7,24,28.9,27.4,32.0,0.4,0.4,
2017,7,25,28.1,25.5,31.6,16.1,16.1,
2017,7,26,28.4,24.5,32.9,,,
2017,7,27,27.9,23.5,32.8,,,
2017,7,28,27.8,24.8,31.0,0.0,0.0,
2017,7,29,27.7,25.4,31.8,1.9,1.9,
2017,7,30,27.1,25.5,31.5,4.7,4.7,
2017,7,31,25.1,23.9,26.6,23.7,23.7,
