year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2009,8,1,23.3,20.0,30.6,9.5,9.5,
2009,8,2,23.5,19.3,30.3,,,
2009,8,3,21.6,18.6,24.5,,,
2009,8,4,23.0,16.8,30.4,,,
2009,8,5,23.8,18.2,30.7,,,
2009,8,6,22.1,18.5,27.1,42.5,42.5,
2009,8,7,23.9,20.8,28.5,8.5,8.5,
2009,8,8,25.4,22.1,30.8,,,
2009,8,9,24.7,20.2,31.0,,,
2009,8,10,24.4,19.6,29.2,,,
2009,8,11,22.9,21.6,26.9,44.0,44.0,
2009,8,12,22.7,21.3,24.7,65.0,65.0,
2009,8,13,24.1,19.3,29.3,0.1,0.1,
2009,8,14,24.8,20.2,32.4,,,
2009,8,15,24.9,19.5,33.3,,,
2009,8,16,24.4,17.3,32.4,,,
2009,8,17,24.2,20.7,29.5,,,
2009,8,18,24.6,21.0,30.0,,,
2009,8,19,25.3,19.6,31.5,0.4,0.4,
2009,8,20,24.0,20.6,26.0,19.5,19.5,
2009,8,21,21.9,17.3,30.6,,,
2009,8,22,21.6,17.1,28.5,,,
2009,8,23,22.5,15.7,30.2,,,
2009,8,24,21.6,14.5,29.6,,,
2009,8,25,21.6,16.1,28.2,,,
2009,8,26,22.5,18.3,28.2,,,
2009,8,27,21.4,19.3,24.4,23.5,23.5,
2009,8,28,22.6,16.3,29.1,,,
2009,8,29,19.3,13.2,25.3,,,
2009,8,30,18.7,15.0,21.8,,,
2009,8,31,19.3,12.0,26.7,,,
