year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2016,8,1,27.2,23.1,32.7,,,
2016,8,2,27.0,22.7,32.2,,,
2016,8,3,26.7,24.0,31.3,,,
2016,8,4,27.7,23.8,32.2,,,
2016,8,5,27.5,23.1,33.0,,,
2016,8,6,27.8,22.7,33.2,,,
2016,8,7,27.8,23.6,33.2,,,
2016,8,8,27.7,23.8,33.2,,,
2016,8,9,28.2,23.7,33.2,,,
2016,8,10,28.2,23.9,33.8,,,
2016,8,11,28.7,24.3,34.2,,,
2016,8,12,28.2,23.4,33.6,,,
2016,8,13,28.0,24.6,32.2,,,
2016,8,14,28.0,24.4,32.5,,,
2016,8,15,27.5,24.1,31.4,,,
2016,8,16,26.5,23.1,31.1,,,
2016,8,17,26.2,21.6,32.1,,,
2016,8,18,27.5,22.9,32.6,,,
2016,8,19,28.5,23.8,33.1,,,
2016,8,20,27.9,23.9,33.3,,,
2016,8,21,27.7,23.2,33.1,,,
2016,8,22,27.7,24.4,33.1,,,
2016,8,23,27.5,23.8,32.2,,,
2016,8,24,26.9,22.1,35.2,,,
2016,8,25,26.5,20.8,33.2,,,
2016,8,26,25.2,22.1,29.9,1.5,1.5,
2016,8,27,21.7,20.0,24.4,10.5,10.5,
2016,8,28,21.2,17.4,25.1,13.5,13.5,
2016,8,29,22.8,20.5,25.5,,,
2016,8,30,23.7,22.2,26.0,,,
2016,8,31,24.9,21.4,28.3,,,
