year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1990,5,1,14.2,10.2,19.2,8.5,8.5,
1990,5,2,12.0,10.0,13.5,17.0,17.0,
1990,5,3,13.8,12.4,15.5,15.0,15.0,
1990,5,4,14.1,13.1,15.2,2.6,2.6,
1990,5,5,16.2,10.3,21.1,,,
1990,5,6,15.9,9.6,21.5,,,
1990,5,7,17.5,15.1,21.2,,,
1990,5,8,18.4,15.1,24.2,,,
1990,5,9,19.4,13.3,25.8,,,
1990,5,10,20.8,16.3,26.8,,,
1990,5,11,20.3,17.9,24.3,,,
1990,5,12,20.7,16.0,27.3,,,
1990,5,13,20.7,17.1,26.5,,,
1990,5,14,17.6,15.7,20.0,1.3,1.3,
1990,5,15,19.7,12.0,28.9,0.2,0.2,
1990,5,16,18.2,14.4,21.1,,,
1990,5,17,17.3,15.1,23.4,11.0,11.0,
1990,5,18,15.8,14.8,17.1,33.3,33.3,
1990,5,19,16.6,11.9,21.2,,,
1990,5,20,19.5,16.3,23.7,,,
1990,5,21,19.8,13.9,26.7,,,
1990,5,22,18.4,12.8,23.6,,,
1990,5,23,19.7,14.9,25.8,,,
1990,5,24,16.1,13.6,20.1,6.4,6.4,
1990,5,25,17.1,11.7,23.4,,,
1990,5,26,18.3,12.2,24.1,,,
1990,5,27,19.0,12.5,25.2,,,
1990,5,28,20.9,15.6,26.8,,,
1990,5,29,21.7,17.0,26.3,,,
1990,5,30,19.9,18.0,24.5,2.8,2.8,
1990,5,31,18.3,16.3,20.4,55.5,55.5,
