year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2012,8,1,26.9,21.9,33.4,,,
2012,8,2,26.7,21.7,32.7,,,
2012,8,3,26.0,21.5,32.3,0.0,0.0,
2012,8,4,26.0,21.1,33.1,,,
2012,8,5,26.0,20.1,36.3,,,
2012,8,6,25.8,18.6,33.4,,,
2012,8,7,24.7,19.5,32.2,,,
2012,8,8,23.7,17.7,30.6,,,
2012,8,9,25.0,17.8,33.8,30.0,30.0,
2012,8,10,23.7,21.8,29.6,4.0,4.0,
2012,8,11,25.1,21.5,31.1,,,
2012,8,12,24.2,22.7,27.8,35.5,35.5,
2012,8,13,23.5,21.4,27.2,33.5,33.5,
2012,8,14,22.8,19.9,25.4,1.0,1.0,
2012,8,15,26.1,22.2,31.5,8.0,8.0,
2012,8,16,24.4,21.7,28.3,18.0,18.0,
2012,8,17,25.3,21.3,30.3,1.5,1.5,
2012,8,18,25.9,23.4,32.6,2.0,2.0,
2012,8,19,27.0,23.4,33.2,,,
2012,8,20,25.8,22.2,29.3,,,
2012,8,21,25.4,21.7,32.3,5.5,5.5,
2012,8,22,23.9,21.8,28.9,15.0,15.0,
2012,8,23,20.8,19.8,22.4,43.5,43.5,
2012,8,24,20.6,19.5,21.8,21.5,21.5,
2012,8,25,24.6,19.8,31.4,0.5,0.5,
2012,8,26,24.6,19.8,31.7,,,
2012,8,27,25.3,20.2,29.6,0.1,0.1,
2012,8,28,25.5,24.1,27.6,22.5,22.5,
2012,8,29,25.6,21.8,29.6,,,
2012,8,30,21.9,17.8,25.0,35.5,35.5,
2012,8,31,19.8,17.1,24.1,2.0,2.0,
