year,month,day,tavg,tmin,tmax,rain,sunshine,snow
1981,6,1,15.9,7.5,23.4,,,
1981,6,2,18.2,9.2,26.3,,,
1981,6,3,18.0,11.2,23.1,,,
1981,6,4,19.2,13.2,25.5,0.9,0.9,
1981,6,5,19.9,9.9,28.6,,,
1981,6,6,21.3,12.7,29.0,0.0,0.0,
1981,6,7,21.9,13.6,30.5,,,
1981,6,8,21.1,12.4,29.3,,,
1981,6,9,20.4,15.5,26.4,0.0,0.0,
1981,6,10,18.0,16.1,21.3,7.6,7.6,
1981,6,11,19.7,15.8,24.5,6.5,6.5,
1981,6,12,20.8,16.0,25.4,10.5,10.5,
1981,6,13,22.3,14.8,29.1,,,
1981,6,14,22.2,16.1,30.6,,,
1981,6,15,23.1,14.5,31.5,,,
1981,6,16,24.3,16.9,32.8,,,
1981,6,17,24.9,18.9,31.4,,,
1981,6,18,26.2,20.5,32.5,,,
1981,6,19,24.6,20.6,28.5,3.6,3.6,
1981,6,20,24.8,20.9,30.5,6.6,6.6,
1981,6,21,25.7,22.2,29.6,21.0,21.0,
1981,6,22,23.8,20.2,27.2,36.0,36.0,
1981,6,23,22.3,17.0,28.8,,,
1981,6,24,20.0,14.3,24.9,,,
1981,6,25,19.4,15.8,24.7,2.3,2.3,
1981,6,26,22.0,16.3,29.4,,,
1981,6,27,24.4,21.1,27.4,1.7,1.7,
1981,6,28,23.6,21.7,26.8,16.8,16.8,
1981,6,29,24.7,21.2,30.5,,,
1981,6,30,24.6,20.5,29.1,2.9,2.9,
