year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2001,7,1,23.4,20.7,27.0,6.0,6.0,
2001,7,2,27.0,21.7,32.2,,,
2001,7,3,27.6,22.2,33.5,,,
2001,7,4,26.8,21.2,32.7,,,
2001,7,5,23.8,21.2,31.7,77.5,77.5,
2001,7,6,23.8,21.3,27.7,2.0,2.0,
2001,7,7,23.4,18.7,29.6,,,
2001,7,8,24.5,18.2,32.0,,,
2001,7,9,25.1,20.1,31.7,,,
2001,7,10,24.7,18.7,30.2,,,
2001,7,11,23.9,22.1,26.8,63.5,63.5,
2001,7,12,20.0,19.2,22.1,75.0,75.0,
2001,7,13,23.6,19.8,28.5,,,
2001,7,14,23.3,21.5,25.3,11.5,11.5,
2001,7,15,26.5,23.7,31.3,0.5,0.5,
2001,7,16,24.7,22.0,29.3,,,
2001,7,17,23.3,19.0,29.0,,,
2001,7,18,23.2,17.2,30.0,,,
2001,7,19,22.0,18.6,29.5,0.5,0.5,
2001,7,20,24.2,19.2,30.2,0.0,0.0,
2001,7,21,26.5,21.8,31.0,,,
2001,7,22,28.5,24.7,33.5,,,
2001,7,23,28.2,22.7,34.7,,,
2001,7,24,27.8,22.3,35.0,,,
2001,7,25,26.3,22.3,33.7,0.5,0.5,
2001,7,26,26.7,21.5,34.0,0.5,0.5,
2001,7,27,26.2,23.1,31.5,,,
2001,7,28,27.2,23.7,32.4,,,
2001,7,29,28.9,23.6,33.7,,,
2001,7,30,28.0,24.6,32.0,,,
2001,7,31,27.4,23.7,32.7,13.5,13.5,
