year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2019,4,1,6.0,0.4,10.2,,,
2019,4,2,6.1,-2.5,12.0,,,
2019,4,3,6.5,-1.2,13.0,,,
2019,4,4,8.4,0.8,14.7,,,
2019,4,5,10.8,4.3,17.3,,,
2019,4,6,9.9,0.0,17.5,,,
2019,4,7,12.7,5.5,19.5,0.0,0.0,
2019,4,8,9.7,1.5,16.9,,,
2019,4,9,9.1,4.0,15.9,27.2,27.2,
2019,4,10,6.4,3.3,8.7,2.3,2.3,
2019,4,11,7.6,-0.2,15.1,0.0,0.0,
2019,4,12,9.8,2.9,16.9,0.0,0.0,
2019,4,13,9.9,1.3,17.4,,,
2019,4,14,9.4,3.9,13.8,0.9,0.9,
2019,4,15,9.5,1.4,16.6,,,
2019,4,16,12.4,1.2,22.1,,,
2019,4,17,13.6,4.5,20.8,,,
2019,4,18,12.9,7.3,16.9,,,
2019,4,19,14.1,9.1,19.7,,,
2019,4,20,15.6,12.1,19.4,0.0,0.0,
2019,4,21,14.7,11.4,18.2,0.0,0.0,
2019,4,22,17.4,7.4,27.5,,,
2019,4,23,17.2,11.6,23.3,6.2,6.2,
2019,4,24,16.7,12.4,22.3,8.8,8.8,
2019,4,25,12.9,8.4,17.3,0.5,0.5,
2019,4,26,8.5,6.4,10.3,0.6,0.6,
2019,4,27,11.0,2.5,17.5,,,
2019,4,28,11.6,7.7,16.8,0.1,0.1,
2019,4,29,11.1,6.0,15.5,0.0,0.0,
2019,4,30,13.9,6.2,21.8,,,
