year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2015,3,1,2.9,0.1,6.7,,,
2015,3,2,1.8,-5.5,9.9,,,
2015,3,3,1.8,-0.8,6.2,2.0,2.0,
2015,3,4,-1.7,-4.8,2.5,,,
2015,3,5,-2.0,-9.0,6.0,,,
2015,3,6,0.6,-7.4,10.2,,,
2015,3,7,2.7,-6.1,12.7,,,
2015,3,8,5.6,-4.5,16.0,,,
2015,3,9,2.9,-4.8,9.3,,,
2015,3,10,-3.2,-7.1,1.7,,,
2015,3,11,-0.8,-8.8,6.4,0.0,0.0,
2015,3,12,1.2,-6.4,7.5,,,
2015,3,13,3.8,-1.5,11.2,1.0,1.0,
2015,3,14,2.8,-5.7,12.3,,,
2015,3,15,4.1,-4.1,13.8,,,
2015,3,16,7.0,-3.3,18.9,,,
2015,3,17,8.3,-0.5,17.3,,,
2015,3,18,6.7,3.5,11.9,4.5,4.5,
2015,3,19,10.9,2.4,21.8,,,
2015,3,20,12.0,3.2,22.2,,,
2015,3,21,9.8,1.2,19.1,,,
2015,3,22,7.8,-0.4,16.7,,,
2015,3,23,4.1,-3.4,11.3,,,
2015,3,24,4.2,-4.9,13.2,,,
2015,3,25,5.5,-4.0,15.3,,,
2015,3,26,7.9,-3.0,18.5,,,
2015,3,27,8.9,-1.1,18.6,,,
2015,3,28,9.6,-1.8,19.0,,,
2015,3,29,12.1,6.6,19.7,,,
2015,3,30,12.6,2.6,22.7,,,
2015,3,31,11.2,5.8,16.2,3.5,3.5,
