year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2020,10,1,19.2,16.6,24.0,,,
2020,10,2,21.4,16.9,26.7,,,
2020,10,3,21.3,19.4,24.7,2.6,2.6,
2020,10,4,18.6,16.3,20.8,5.8,5.8,
2020,10,5,17.2,15.5,20.8,0.0,0.0,
2020,10,6,17.5,15.6,20.5,,,
2020,10,7,18.2,16.7,21.1,,,
2020,10,8,19.1,17.5,20.9,,,
2020,10,9,17.8,15.4,21.7,,,
2020,10,10,18.7,16.5,22.1,,,
2020,10,11,19.0,17.2,23.7,,,
2020,10,12,18.5,15.9,22.9,0.1,0.1,
2020,10,13,16.9,15.9,19.9,,,
2020,10,14,17.6,15.2,21.8,,,
2020,10,15,16.0,14.5,18.5,,,
2020,10,16,16.4,14.9,19.2,,,
2020,10,17,16.6,14.3,21.1,,,
2020,10,18,16.1,13.5,20.1,,,
2020,10,19,17.0,15.1,21.0,,,
2020,10,20,17.3,15.6,21.2,,,
2020,10,21,16.4,14.3,18.3,2.7,2.7,
2020,10,22,16.1,14.2,19.2,0.1,0.1,
2020,10,23,13.7,12.6,15.6,,,
2020,10,24,14.1,12.8,16.5,,,
2020,10,25,16.2,14.1,20.5,,,
2020,10,26,15.9,13.7,20.5,,,
2020,10,27,16.2,13.6,19.1,,,
2020,10,28,16.0,14.4,18.7,0.0,0.0,
2020,10,29,14.8,13.1,18.4,,,
2020,10,30,15.1,13.3,18.0,,,
2020,10,31,16.6,14.0,20.6,,,
