item_name,kind_name,rank,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,item_code,kind_code,rank_code
고등어,국산(염장)(1마리),중품,2마리,당일 (01/02),"2,234",1일전 (01/01),-,1주일전 (12/26),"2,202",2주일전 (12/19),"2,185",1개월전,"2,093",1년전,"1,884",일평년,"1,643",2023-01-02,,,
고등어,국산(신선 냉장)(1마리),大,1마리,당일 (01/02),"4,819",1일전 (01/01),-,1주일전 (12/26),"4,438",2주일전 (12/19),"4,740",1개월전,"4,918",1년전,-,일평년,-,2023-01-02,,,
꽁치,냉동(수입)(5마리),중품,5마리,당일 (01/02),"6,898",1일전 (01/01),-,1주일전 (12/26),"6,922",2주일전 (12/19),"6,943",1개월전,"6,732",1년전,"6,240",일평년,"3,992",2023-01-02,,,
갈치,국산(냉장)(1마리),中,1마리,당일 (01/02),"8,712",1일전 (01/01),-,1주일전 (12/26),"8,714",2주일전 (12/19),"8,958",1개월전,"8,997",1년전,-,일평년,-,2023-01-02,,,
갈치,국산(냉장)(1마리),小,1마리,당일 (01/02),"4,940",1일전 (01/01),-,1주일전 (12/26),"4,983",2주일전 (12/19),"4,716",1개월전,"4,933",1년전,-,일평년,-,2023-01-02,,,
갈치,국산(냉동)(1마리),中,1마리,당일 (01/02),"5,459",1일전 (01/01),-,1주일전 (12/26),"5,116",2주일전 (12/19),"5,241",1개월전,"5,861",1년전,-,일평년,-,2023-01-02,,,
조기,참조기(냉동)(1마리),中,1마리,당일 (01/02),"1,476",1일전 (01/01),-,1주일전 (12/26),"1,213",2주일전 (12/19),"1,445",1개월전,"1,342",1년전,-,일평년,-,2023-01-02,,,
조기,참조기(냉동)(1마리),小,1마리,당일 (01/02),878,1일전 (01/01),-,1주일전 (12/26),875,2주일전 (12/19),764,1개월전,784,1년전,-,일평년,-,2023-01-02,,,
명태,냉동(원양수입통합)(1마리),大,1마리,당일 (01/02),"3,718",1일전 (01/01),-,1주일전 (12/26),"3,707",2주일전 (12/19),"3,696",1개월전,"3,504",1년전,-,일평년,-,2023-01-02,,,
물오징어,연근해(신선 냉장)(1마리),中,1마리,당일 (01/02),"7,071",1일전 (01/01),-,1주일전 (12/26),"6,775",2주일전 (12/19),"7,290",1개월전,"7,255",1년전,-,일평년,-,2023-01-02,,,
물오징어,연근해(냉동)(1마리),中,1마리,당일 (01/02),"4,749",1일전 (01/01),-,1주일전 (12/26),"4,773",2주일전 (12/19),"4,746",1개월전,"4,528",1년전,-,일평년,-,2023-01-02,,,
물오징어,연근해(냉동)(1마리),小,1마리,당일 (01/02),-,1일전 (01/01),-,1주일전 (12/26),-,2주일전 (12/19),"3,465",1개월전,-,1년전,-,일평년,-,2023-01-02,,,
물오징어,원양(냉동)(1마리),中,1마리,당일 (01/02),-,1일전 (01/01),-,1주일전 (12/26),"4,110",2주일전 (12/19),-,1개월전,-,1년전,-,일평년,-,2023-01-02,,,
건멸치,건멸치(100g),중멸,100g,당일 (01/02),"2,613",1일전 (01/01),-,1주일전 (12/26),"2,615",2주일전 (12/19),"2,615",1개월전,"2,563",1년전,"2,768",일평년,"2,694",2023-01-02,,,
건오징어,건오징어(10마리),중품,10마리,당일 (01/02),"68,000",1일전 (01/01),-,1주일전 (12/26),"67,630",2주일전 (12/19),"67,836",1개월전,"65,872",1년전,"63,624",일평년,"55,471",2023-01-02,,,
김,마른김(10장),중품,10장,당일 (01/02),994,1일전 (01/01),-,1주일전 (12/26),994,2주일전 (12/19),994,1개월전,936,1년전,919,일평년,952,2023-01-02,,,
김,얼구운김(10장),중품,10장,당일 (01/02),"1,643",1일전 (01/01),-,1주일전 (12/26),"1,643",2주일전 (12/19),"1,631",1개월전,"1,642",1년전,"1,650",일평년,"1,522",2023-01-02,,,
건미역,건미역(100g),상품,100g,당일 (01/02),"3,021",1일전 (01/01),-,1주일전 (12/26),"3,021",2주일전 (12/19),"3,017",1개월전,"3,012",1년전,"2,898",일평년,"2,879",2023-01-02,,,
굴,굴(1kg),상품,1kg,당일 (01/02),"28,168",1일전 (01/01),-,1주일전 (12/26),"28,647",2주일전 (12/19),"29,548",1개월전,"28,081",1년전,"26,457",일평년,"20,791",2023-01-02,,,
수입조기,부세수입(냉동)(1마리),중품,1마리,당일 (01/02),"3,850",1일전 (01/01),-,1주일전 (12/26),"3,836",2주일전 (12/19),"3,881",1개월전,"3,901",1년전,"3,913",일평년,"4,172",2023-01-02,,,
새우젓,새우젓(1kg),상품,1kg,당일 (01/02),"17,725",1일전 (01/01),-,1주일전 (12/26),"17,688",2주일전 (12/19),"17,674",1개월전,"17,013",1년전,"21,681",일평년,"20,716",2023-01-02,,,
멸치액젓,멸치액젓(1kg),상품,1kg,당일 (01/02),"5,484",1일전 (01/01),-,1주일전 (12/26),"5,475",2주일전 (12/19),"5,445",1개월전,"5,052",1년전,"5,185",일평년,"4,731",2023-01-02,,,
굵은소금,굵은소금(5kg),상품,5kg,당일 (01/02),"11,960",1일전 (01/01),-,1주일전 (12/26),"11,960",2주일전 (12/19),"11,960",1개월전,"12,012",1년전,"10,475",일평년,"7,632",2023-01-02,,,
전복,전복(5마리),중품,5마리,당일 (01/02),"17,449",1일전 (01/01),-,1주일전 (12/26),"18,922",2주일전 (12/19),"17,860",1개월전,"16,721",1년전,"15,139",일평년,"15,827",2023-01-02,,,
새우,흰다리(수입)(10마리),중품,10마리,당일 (01/02),"4,789",1일전 (01/01),-,1주일전 (12/26),"4,752",2주일전 (12/19),"4,799",1개월전,"4,700",1년전,"4,412",일평년,"4,657",2023-01-02,,,
고등어,국산(염장)(1마리),중품,2마리,당일 (01/03),"2,234",1일전 (01/02),"2,234",1주일전 (12/27),"2,234",2주일전 (12/20),"2,262",1개월전,"2,093",1년전,"1,884",일평년,"1,645",2023-01-03,,,
고등어,국산(신선 냉장)(1마리),大,1마리,당일 (01/03),"4,801",1일전 (01/02),"4,819",1주일전 (12/27),"4,449",2주일전 (12/20),"4,735",1개월전,"4,918",1년전,-,일평년,-,2023-01-03,,,
고등어,국산(냉동)(1마리),大,1마리,당일 (01/03),-,1일전 (01/02),-,1주일전 (12/27),"4,551",2주일전 (12/20),-,1개월전,-,1년전,-,일평년,-,2023-01-03,,,
꽁치,냉동(수입)(5마리),중품,5마리,당일 (01/03),"6,943",1일전 (01/02),"6,898",1주일전 (12/27),"6,922",2주일전 (12/20),"6,922",1개월전,"6,732",1년전,"6,240",일평년,"3,993",2023-01-03,,,
갈치,국산(냉장)(1마리),中,1마리,당일 (01/03),"8,732",1일전 (01/02),"8,712",1주일전 (12/27),"8,728",2주일전 (12/20),"8,938",1개월전,"8,997",1년전,-,일평년,-,2023-01-03,,,
갈치,국산(냉장)(1마리),小,1마리,당일 (01/03),"4,940",1일전 (01/02),"4,940",1주일전 (12/27),"4,895",2주일전 (12/20),"4,931",1개월전,"4,933",1년전,-,일평년,-,2023-01-03,,,
갈치,국산(냉동)(1마리),中,1마리,당일 (01/03),"5,626",1일전 (01/02),"5,459",1주일전 (12/27),"5,116",2주일전 (12/20),"5,548",1개월전,"5,861",1년전,-,일평년,-,2023-01-03,,,
조기,참조기(냉동)(1마리),中,1마리,당일 (01/03),"1,478",1일전 (01/02),"1,476",1주일전 (12/27),"1,228",2주일전 (12/20),"1,436",1개월전,"1,342",1년전,-,일평년,-,2023-01-03,,,
조기,참조기(냉동)(1마리),小,1마리,당일 (01/03),878,1일전 (01/02),878,1주일전 (12/27),875,2주일전 (12/20),764,1개월전,784,1년전,-,일평년,-,2023-01-03,,,
명태,냉동(원양수입통합)(1마리),大,1마리,당일 (01/03),"3,733",1일전 (01/02),"3,718",1주일전 (12/27),"3,695",2주일전 (12/20),"3,742",1개월전,"3,504",1년전,-,일평년,-,2023-01-03,,,
물오징어,연근해(신선 냉장)(1마리),中,1마리,당일 (01/03),"7,097",1일전 (01/02),"7,071",1주일전 (12/27),"6,962",2주일전 (12/20),"7,266",1개월전,"7,255",1년전,-,일평년,-,2023-01-03,,,
물오징어,연근해(냉동)(1마리),中,1마리,당일 (01/03),"4,626",1일전 (01/02),"4,749",1주일전 (12/27),"4,679",2주일전 (12/20),"4,775",1개월전,"4,528",1년전,-,일평년,-,2023-01-03,,,
물오징어,연근해(냉동)(1마리),小,1마리,당일 (01/03),"3,569",1일전 (01/02),-,1주일전 (12/27),"3,576",2주일전 (12/20),"3,465",1개월전,-,1년전,-,일평년,-,2023-01-03,,,
물오징어,원양(냉동)(1마리),中,1마리,당일 (01/03),"4,208",1일전 (01/02),-,1주일전 (12/27),-,2주일전 (12/20),"4,120",1개월전,-,1년전,-,일평년,-,2023-01-03,,,
건멸치,건멸치(100g),중멸,100g,당일 (01/03),"2,613",1일전 (01/02),"2,613",1주일전 (12/27),"2,615",2주일전 (12/20),"2,615",1개월전,"2,563",1년전,"2,769",일평년,"2,696",2023-01-03,,,
건오징어,건오징어(10마리),중품,10마리,당일 (01/03),"68,000",1일전 (01/02),"68,000",1주일전 (12/27),"67,669",2주일전 (12/20),"67,911",1개월전,"65,872",1년전,"63,641",일평년,"55,561",2023-01-03,,,
김,마른김(10장),중품,10장,당일 (01/03),994,1일전 (01/02),994,1주일전 (12/27),994,2주일전 (12/20),994,1개월전,936,1년전,919,일평년,952,2023-01-03,,,
김,얼구운김(10장),중품,10장,당일 (01/03),"1,643",1일전 (01/02),"1,643",1주일전 (12/27),"1,643",2주일전 (12/20),"1,631",1개월전,"1,642",1년전,"1,650",일평년,"1,522",2023-01-03,,,
건미역,건미역(100g),상품,100g,당일 (01/03),"3,021",1일전 (01/02),"3,021",1주일전 (12/27),"3,021",2주일전 (12/20),"3,017",1개월전,"3,012",1년전,"2,898",일평년,"2,879",2023-01-03,,,
굴,굴(1kg),상품,1kg,당일 (01/03),"28,061",1일전 (01/02),"28,168",1주일전 (12/27),"28,500",2주일전 (12/20),"29,377",1개월전,"28,081",1년전,"26,422",일평년,"20,727",2023-01-03,,,
수입조기,부세수입(냉동)(1마리),중품,1마리,당일 (01/03),"3,878",1일전 (01/02),"3,850",1주일전 (12/27),"3,843",2주일전 (12/20),"3,833",1개월전,"3,901",1년전,"3,872",일평년,"4,155",2023-01-03,,,
새우젓,새우젓(1kg),상품,1kg,당일 (01/03),"17,643",1일전 (01/02),"17,725",1주일전 (12/27),"17,688",2주일전 (12/20),"17,674",1개월전,"17,013",1년전,"21,681",일평년,"20,711",2023-01-03,,,
멸치액젓,멸치액젓(1kg),상품,1kg,당일 (01/03),"5,484",1일전 (01/02),"5,484",1주일전 (12/27),"5,475",2주일전 (12/20),"5,475",1개월전,"5,052",1년전,"5,194",일평년,"4,735",2023-01-03,,,
굵은소금,굵은소금(5kg),상품,5kg,당일 (01/03),"11,960",1일전 (01/02),"11,960",1주일전 (12/27),"11,960",2주일전 (12/20),"11,960",1개월전,"12,012",1년전,"10,477",일평년,"7,633",2023-01-03,,,
전복,전복(5마리),중품,5마리,당일 (01/03),"17,449",1일전 (01/02),"17,449",1주일전 (12/27),"18,922",2주일전 (12/20),"17,982",1개월전,"16,721",1년전,"15,010",일평년,"15,802",2023-01-03,,,
새우,흰다리(수입)(10마리),중품,10마리,당일 (01/03),"4,793",1일전 (01/02),"4,789",1주일전 (12/27),"4,790",2주일전 (12/20),"4,799",1개월전,"4,700",1년전,"4,414",일평년,"4,657",2023-01-03,,,
고등어,국산(염장)(1마리),중품,2마리,당일 (01/04),"2,234",1일전 (01/03),"2,234",1주일전 (12/28),"2,202",2주일전 (12/21),"2,266",1개월전,"2,093",1년전,"1,893",일평년,"1,649",2023-01-04,,,
고등어,국산(신선 냉장)(1마리),大,1마리,당일 (01/04),"4,815",1일전 (01/03),"4,801",1주일전 (12/28),"4,541",2주일전 (12/21),"4,737",1개월전,"4,918",1년전,-,일평년,-,2023-01-04,,,
