item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
배추,211,가을(1포기),3,상품,4,1포기,당일 (01/02),"3,088",1일전 (01/01),-,1주일전 (12/26),"2,955",2주일전 (12/19),"2,849",1개월전,"2,849",1년전,"4,255",일평년,"3,437",2023-01-02
배추,211,가을(1포기),3,중품,5,1포기,당일 (01/02),"2,729",1일전 (01/01),-,1주일전 (12/26),"2,521",2주일전 (12/19),"2,598",1개월전,"2,713",1년전,"3,722",일평년,"2,830",2023-01-02
양배추,212,양배추(1포기),0,상품,4,1포기,당일 (01/02),"3,848",1일전 (01/01),-,1주일전 (12/26),"3,623",2주일전 (12/19),"3,428",1개월전,"3,614",1년전,"3,175",일평년,"3,647",2023-01-02
양배추,212,양배추(1포기),0,중품,5,1포기,당일 (01/02),"3,431",1일전 (01/01),-,1주일전 (12/26),"3,202",2주일전 (12/19),"2,829",1개월전,"3,150",1년전,"2,895",일평년,"2,971",2023-01-02
시금치,213,시금치(100g),0,상품,4,100g,당일 (01/02),743,1일전 (01/01),-,1주일전 (12/26),685,2주일전 (12/19),636,1개월전,703,1년전,687,일평년,542,2023-01-02
상추,214,적(100g),1,상품,4,100g,당일 (01/02),"1,436",1일전 (01/01),-,1주일전 (12/26),"1,206",2주일전 (12/19),"1,037",1개월전,824,1년전,"1,026",일평년,937,2023-01-02
상추,214,적(100g),1,중품,5,100g,당일 (01/02),"1,073",1일전 (01/01),-,1주일전 (12/26),808,2주일전 (12/19),684,1개월전,520,1년전,715,일평년,657,2023-01-02
상추,214,청(100g),2,상품,4,100g,당일 (01/02),"1,549",1일전 (01/01),-,1주일전 (12/26),"1,387",2주일전 (12/19),"1,154",1개월전,892,1년전,"1,112",일평년,940,2023-01-02
상추,214,청(100g),2,중품,5,100g,당일 (01/02),958,1일전 (01/01),-,1주일전 (12/26),775,2주일전 (12/19),616,1개월전,492,1년전,678,일평년,611,2023-01-02
얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (01/02),"2,826",1일전 (01/01),-,1주일전 (12/26),"2,760",2주일전 (12/19),"2,659",1개월전,"2,544",1년전,"3,315",일평년,"2,205",2023-01-02
갓,216,갓(1kg),0,상품,4,1kg,당일 (01/02),-,1일전 (01/01),-,1주일전 (12/26),"3,605",2주일전 (12/19),"3,505",1개월전,"3,907",1년전,"3,188",일평년,"3,816",2023-01-02
