item_name,kind_name,rank,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,item_code,kind_code,rank_code
소,안심,1++등급,100g,당일 (01/01),"15,576",1일전 (12/31),"15,584",1주일전 (12/25),"15,620",2주일전 (12/18),"14,910",1개월전,"15,019",1년전,0,일평년,-,2023-01-01,,,
소,안심,1+등급,100g,당일 (01/01),"14,429",1일전 (12/31),"14,432",1주일전 (12/25),"14,484",2주일전 (12/18),"14,150",1개월전,"15,316",1년전,0,일평년,-,2023-01-01,,,
소,안심,1등급,100g,당일 (01/01),"12,730",1일전 (12/31),"12,750",1주일전 (12/25),"12,764",2주일전 (12/18),"13,035",1개월전,"14,019",1년전,0,일평년,-,2023-01-01,,,
소,등심,1++등급,100g,당일 (01/01),"13,389",1일전 (12/31),"13,397",1주일전 (12/25),"13,474",2주일전 (12/18),"12,964",1개월전,"15,328",1년전,0,일평년,-,2023-01-01,,,
소,등심,1+등급,100g,당일 (01/01),"11,634",1일전 (12/31),"11,638",1주일전 (12/25),"11,668",2주일전 (12/18),"11,356",1개월전,"13,108",1년전,0,일평년,-,2023-01-01,,,
소,등심,1등급,100g,당일 (01/01),"9,830",1일전 (12/31),"9,828",1주일전 (12/25),"9,890",2주일전 (12/18),"9,991",1개월전,"10,692",1년전,0,일평년,"9,528",2023-01-01,,,
소,설도,1++등급,100g,당일 (01/01),"4,721",1일전 (12/31),"4,729",1주일전 (12/25),"4,743",2주일전 (12/18),"4,777",1개월전,"5,190",1년전,0,일평년,-,2023-01-01,,,
소,설도,1+등급,100g,당일 (01/01),"4,687",1일전 (12/31),"4,683",1주일전 (12/25),"4,708",2주일전 (12/18),"4,795",1개월전,"5,094",1년전,0,일평년,-,2023-01-01,,,
소,설도,1등급,100g,당일 (01/01),"4,408",1일전 (12/31),"4,401",1주일전 (12/25),"4,395",2주일전 (12/18),"4,472",1개월전,"4,379",1년전,0,일평년,-,2023-01-01,,,
소,양지,1++등급,100g,당일 (01/01),"6,712",1일전 (12/31),"6,725",1주일전 (12/25),"6,725",2주일전 (12/18),"6,272",1개월전,"7,050",1년전,0,일평년,-,2023-01-01,,,
소,양지,1+등급,100g,당일 (01/01),"6,212",1일전 (12/31),"6,209",1주일전 (12/25),"6,228",2주일전 (12/18),"6,095",1개월전,"6,447",1년전,0,일평년,-,2023-01-01,,,
소,양지,1등급,100g,당일 (01/01),"5,913",1일전 (12/31),"5,911",1주일전 (12/25),"5,911",2주일전 (12/18),"5,819",1개월전,"5,710",1년전,0,일평년,-,2023-01-01,,,
소,갈비,1++등급,100g,당일 (01/01),"8,212",1일전 (12/31),"8,242",1주일전 (12/25),"8,254",2주일전 (12/18),"8,170",1개월전,"7,781",1년전,0,일평년,-,2023-01-01,,,
소,갈비,1+등급,100g,당일 (01/01),"7,037",1일전 (12/31),"7,027",1주일전 (12/25),"7,051",2주일전 (12/18),"7,042",1개월전,"7,038",1년전,0,일평년,-,2023-01-01,,,
소,갈비,1등급,100g,당일 (01/01),"6,611",1일전 (12/31),"6,611",1주일전 (12/25),"6,600",2주일전 (12/18),"6,614",1개월전,"6,670",1년전,0,일평년,-,2023-01-01,,,
돼지,앞다리,앞다리,100g,당일 (01/01),"1,356",1일전 (12/31),"1,356",1주일전 (12/25),"1,355",2주일전 (12/18),"1,339",1개월전,"1,313",1년전,0,일평년,-,2023-01-01,,,
돼지,삼겹살,삼겹살,100g,당일 (01/01),"2,511",1일전 (12/31),"2,512",1주일전 (12/25),"2,513",2주일전 (12/18),"2,614",1개월전,"2,540",1년전,0,일평년,"2,035",2023-01-01,,,
돼지,갈비,갈비,100g,당일 (01/01),"1,428",1일전 (12/31),"1,430",1주일전 (12/25),"1,428",2주일전 (12/18),"1,363",1개월전,"1,407",1년전,0,일평년,-,2023-01-01,,,
돼지,목심,목심,100g,당일 (01/01),"2,314",1일전 (12/31),"2,315",1주일전 (12/25),"2,320",2주일전 (12/18),"2,434",1개월전,"2,389",1년전,0,일평년,-,2023-01-01,,,
수입 소고기,갈비,미국산,100g,당일 (01/01),"4,216",1일전 (12/31),"4,216",1주일전 (12/25),"4,214",2주일전 (12/18),"4,215",1개월전,"4,128",1년전,0,일평년,-,2023-01-01,,,
수입 소고기,갈비,호주산,100g,당일 (01/01),"4,432",1일전 (12/31),"4,432",1주일전 (12/25),"4,442",2주일전 (12/18),"4,447",1개월전,"4,462",1년전,0,일평년,-,2023-01-01,,,
수입 소고기,갈비살,미국산,100g,당일 (01/01),"4,198",1일전 (12/31),"4,188",1주일전 (12/25),"4,190",2주일전 (12/18),"4,250",1개월전,"4,621",1년전,0,일평년,-,2023-01-01,,,
수입 소고기,갈비살,호주산,100g,당일 (01/01),0,1일전 (12/31),0,1주일전 (12/25),0,2주일전 (12/18),0,1개월전,"4,981",1년전,0,일평년,-,2023-01-01,,,
수입 돼지고기,삼겹살,삼겹살,100g,당일 (01/01),"1,558",1일전 (12/31),"1,558",1주일전 (12/25),"1,562",2주일전 (12/18),"1,556",1개월전,"1,562",1년전,0,일평년,-,2023-01-01,,,
닭,육계(kg),육계(kg),1kg,당일 (01/01),"5,602",1일전 (12/31),"5,602",1주일전 (12/25),"5,532",2주일전 (12/18),"5,486",1개월전,"5,429",1년전,0,일평년,"5,298",2023-01-01,,,
계란,특란10구,일반란,10구,당일 (01/01),"3,650",1일전 (12/31),"3,650",1주일전 (12/25),"3,643",2주일전 (12/18),"3,656",1개월전,"3,656",1년전,0,일평년,-,2023-01-01,,,
계란,특란10구,등급란,10구,당일 (01/01),"5,289",1일전 (12/31),"5,289",1주일전 (12/25),"5,303",2주일전 (12/18),"5,387",1개월전,"5,370",1년전,0,일평년,-,2023-01-01,,,
계란,특란30구,일반란,30구,당일 (01/01),"6,675",1일전 (12/31),"6,675",1주일전 (12/25),"6,672",2주일전 (12/18),"6,672",1개월전,"6,743",1년전,0,일평년,"5,625",2023-01-01,,,
계란,특란30구,등급란,30구,당일 (01/01),"8,977",1일전 (12/31),"8,977",1주일전 (12/25),"8,977",2주일전 (12/18),"9,043",1개월전,"9,537",1년전,0,일평년,-,2023-01-01,,,
우유,흰우유,흰우유,1L,당일 (01/01),"2,848",1일전 (12/31),"2,848",1주일전 (12/25),"2,847",2주일전 (12/18),"2,841",1개월전,"2,778",1년전,0,일평년,-,2023-01-01,,,
소,안심,1++등급,100g,당일 (01/02),"15,574",1일전 (01/01),"15,576",1주일전 (12/26),"15,620",2주일전 (12/19),"14,906",1개월전,"15,005",1년전,"15,605",일평년,-,2023-01-02,,,
소,안심,1+등급,100g,당일 (01/02),"14,429",1일전 (01/01),"14,429",1주일전 (12/26),"14,487",2주일전 (12/19),"14,148",1개월전,"15,318",1년전,"15,453",일평년,-,2023-01-02,,,
소,안심,1등급,100g,당일 (01/02),"12,742",1일전 (01/01),"12,730",1주일전 (12/26),"12,768",2주일전 (12/19),"13,037",1개월전,"14,023",1년전,"13,917",일평년,-,2023-01-02,,,
소,등심,1++등급,100g,당일 (01/02),"13,405",1일전 (01/01),"13,389",1주일전 (12/26),"13,461",2주일전 (12/19),"12,957",1개월전,"14,235",1년전,"14,303",일평년,-,2023-01-02,,,
소,등심,1+등급,100g,당일 (01/02),"11,635",1일전 (01/01),"11,634",1주일전 (12/26),"11,669",2주일전 (12/19),"11,363",1개월전,"12,434",1년전,"13,104",일평년,-,2023-01-02,,,
소,등심,1등급,100g,당일 (01/02),"9,823",1일전 (01/01),"9,830",1주일전 (12/26),"9,887",2주일전 (12/19),"9,997",1개월전,"9,866",1년전,"11,200",일평년,-,2023-01-02,,,
소,설도,1++등급,100g,당일 (01/02),"4,719",1일전 (01/01),"4,721",1주일전 (12/26),"4,748",2주일전 (12/19),"4,772",1개월전,"5,104",1년전,"4,558",일평년,-,2023-01-02,,,
소,설도,1+등급,100g,당일 (01/02),"4,689",1일전 (01/01),"4,687",1주일전 (12/26),"4,710",2주일전 (12/19),"4,795",1개월전,"5,017",1년전,"5,438",일평년,-,2023-01-02,,,
소,설도,1등급,100g,당일 (01/02),"4,408",1일전 (01/01),"4,408",1주일전 (12/26),"4,396",2주일전 (12/19),"4,466",1개월전,"4,298",1년전,"5,168",일평년,-,2023-01-02,,,
소,양지,1++등급,100g,당일 (01/02),"6,728",1일전 (01/01),"6,712",1주일전 (12/26),"6,740",2주일전 (12/19),"6,272",1개월전,"6,654",1년전,"6,960",일평년,-,2023-01-02,,,
소,양지,1+등급,100g,당일 (01/02),"6,208",1일전 (01/01),"6,212",1주일전 (12/26),"6,227",2주일전 (12/19),"6,092",1개월전,"6,262",1년전,"7,003",일평년,-,2023-01-02,,,
소,양지,1등급,100g,당일 (01/02),"5,915",1일전 (01/01),"5,913",1주일전 (12/26),"5,917",2주일전 (12/19),"5,816",1개월전,"5,723",1년전,"6,397",일평년,-,2023-01-02,,,
소,갈비,1++등급,100g,당일 (01/02),"8,239",1일전 (01/01),"8,212",1주일전 (12/26),"8,270",2주일전 (12/19),"8,170",1개월전,"7,766",1년전,"8,495",일평년,-,2023-01-02,,,
소,갈비,1+등급,100g,당일 (01/02),"7,041",1일전 (01/01),"7,037",1주일전 (12/26),"7,053",2주일전 (12/19),"7,054",1개월전,"7,028",1년전,"7,992",일평년,-,2023-01-02,,,
소,갈비,1등급,100g,당일 (01/02),"6,627",1일전 (01/01),"6,611",1주일전 (12/26),"6,610",2주일전 (12/19),"6,614",1개월전,"6,679",1년전,"9,661",일평년,-,2023-01-02,,,
돼지,앞다리,앞다리,100g,당일 (01/02),"1,355",1일전 (01/01),"1,356",1주일전 (12/26),"1,355",2주일전 (12/19),"1,339",1개월전,"1,355",1년전,"1,438",일평년,-,2023-01-02,,,
돼지,삼겹살,삼겹살,100g,당일 (01/02),"2,511",1일전 (01/01),"2,511",1주일전 (12/26),"2,511",2주일전 (12/19),"2,614",1개월전,"2,495",1년전,"2,616",일평년,-,2023-01-02,,,
돼지,갈비,갈비,100g,당일 (01/02),"1,428",1일전 (01/01),"1,428",1주일전 (12/26),"1,429",2주일전 (12/19),"1,362",1개월전,"1,400",1년전,"1,405",일평년,-,2023-01-02,,,
돼지,목심,목심,100g,당일 (01/02),"2,313",1일전 (01/01),"2,314",1주일전 (12/26),"2,320",2주일전 (12/19),"2,434",1개월전,"2,286",1년전,"2,415",일평년,-,2023-01-02,,,
수입 소고기,갈비,미국산,100g,당일 (01/02),"4,216",1일전 (01/01),"4,216",1주일전 (12/26),"4,214",2주일전 (12/19),"4,215",1개월전,"3,959",1년전,"4,005",일평년,-,2023-01-02,,,
수입 소고기,갈비,호주산,100g,당일 (01/02),"4,432",1일전 (01/01),"4,432",1주일전 (12/26),"4,442",2주일전 (12/19),"4,447",1개월전,"4,508",1년전,"3,388",일평년,-,2023-01-02,,,
수입 소고기,갈비살,미국산,100g,당일 (01/02),"4,198",1일전 (01/01),"4,198",1주일전 (12/26),"4,184",2주일전 (12/19),"4,250",1개월전,"4,269",1년전,"3,868",일평년,-,2023-01-02,,,
수입 소고기,갈비살,호주산,100g,당일 (01/02),0,1일전 (01/01),0,1주일전 (12/26),0,2주일전 (12/19),0,1개월전,"4,981",1년전,0,일평년,-,2023-01-02,,,
수입 돼지고기,삼겹살,삼겹살,100g,당일 (01/02),"1,558",1일전 (01/01),"1,558",1주일전 (12/26),"1,559",2주일전 (12/19),"1,558",1개월전,"1,567",1년전,"1,493",일평년,-,2023-01-02,,,
닭,육계(kg),육계(kg),1kg,당일 (01/02),"5,602",1일전 (01/01),"5,602",1주일전 (12/26),"5,532",2주일전 (12/19),"5,486",1개월전,"5,385",1년전,0,일평년,-,2023-01-02,,,
계란,특란10구,일반란,10구,당일 (01/02),"3,650",1일전 (01/01),"3,650",1주일전 (12/26),"3,643",2주일전 (12/19),"3,656",1개월전,"3,656",1년전,"4,310",일평년,-,2023-01-02,,,
계란,특란10구,등급란,10구,당일 (01/02),"5,289",1일전 (01/01),"5,289",1주일전 (12/26),"5,303",2주일전 (12/19),"5,387",1개월전,"5,387",1년전,"3,938",일평년,-,2023-01-02,,,
계란,특란30구,일반란,30구,당일 (01/02),"6,675",1일전 (01/01),"6,675",1주일전 (12/26),"6,672",2주일전 (12/19),"6,672",1개월전,"6,704",1년전,"6,435",일평년,-,2023-01-02,,,
계란,특란30구,등급란,30구,당일 (01/02),"8,977",1일전 (01/01),"8,977",1주일전 (12/26),"8,977",2주일전 (12/19),"9,043",1개월전,"9,537",1년전,"9,075",일평년,-,2023-01-02,,,
우유,흰우유,흰우유,1L,당일 (01/02),"2,848",1일전 (01/01),"2,848",1주일전 (12/26),"2,847",2주일전 (12/19),"2,841",1개월전,"2,793",1년전,"2,222",일평년,-,2023-01-02,,,
소,안심,1++등급,100g,당일 (01/03),"15,573",1일전 (01/02),"15,574",1주일전 (12/27),"15,629",2주일전 (12/20),"14,895",1개월전,"15,032",1년전,"15,605",일평년,"15,605",2023-01-03,,,
소,안심,1+등급,100g,당일 (01/03),"14,419",1일전 (01/02),"14,429",1주일전 (12/27),"14,490",2주일전 (12/20),"14,134",1개월전,"15,313",1년전,"15,452",일평년,"15,453",2023-01-03,,,
소,안심,1등급,100g,당일 (01/03),"12,740",1일전 (01/02),"12,742",1주일전 (12/27),"12,771",2주일전 (12/20),"13,000",1개월전,"14,034",1년전,"13,919",일평년,"13,917",2023-01-03,,,
소,등심,1++등급,100g,당일 (01/03),"13,403",1일전 (01/02),"13,405",1주일전 (12/27),"13,462",2주일전 (12/20),"12,946",1개월전,"14,240",1년전,"14,303",일평년,"14,303",2023-01-03,,,
소,등심,1+등급,100g,당일 (01/03),"11,638",1일전 (01/02),"11,635",1주일전 (12/27),"11,660",2주일전 (12/20),"11,357",1개월전,"12,438",1년전,"13,110",일평년,"13,104",2023-01-03,,,
소,등심,1등급,100g,당일 (01/03),"9,812",1일전 (01/02),"9,823",1주일전 (12/27),"9,886",2주일전 (12/20),"9,974",1개월전,"9,860",1년전,"11,198",일평년,"9,085",2023-01-03,,,
소,설도,1++등급,100g,당일 (01/03),"4,712",1일전 (01/02),"4,719",1주일전 (12/27),"4,740",2주일전 (12/20),"4,767",1개월전,"5,107",1년전,"4,635",일평년,"4,558",2023-01-03,,,
소,설도,1+등급,100g,당일 (01/03),"4,689",1일전 (01/02),"4,689",1주일전 (12/27),"4,708",2주일전 (12/20),"4,793",1개월전,"5,012",1년전,"5,438",일평년,"5,438",2023-01-03,,,
소,설도,1등급,100g,당일 (01/03),"4,401",1일전 (01/02),"4,408",1주일전 (12/27),"4,398",2주일전 (12/20),"4,466",1개월전,"4,295",1년전,"5,152",일평년,"5,168",2023-01-03,,,
소,양지,1++등급,100g,당일 (01/03),"6,701",1일전 (01/02),"6,728",1주일전 (12/27),"6,735",2주일전 (12/20),"6,279",1개월전,"6,668",1년전,"6,943",일평년,"6,960",2023-01-03,,,
소,양지,1+등급,100g,당일 (01/03),"6,210",1일전 (01/02),"6,208",1주일전 (12/27),"6,224",2주일전 (12/20),"6,090",1개월전,"6,263",1년전,"7,004",일평년,"7,003",2023-01-03,,,
소,양지,1등급,100g,당일 (01/03),"5,917",1일전 (01/02),"5,915",1주일전 (12/27),"5,915",2주일전 (12/20),"5,812",1개월전,"5,717",1년전,"6,395",일평년,"6,397",2023-01-03,,,
소,갈비,1++등급,100g,당일 (01/03),"8,199",1일전 (01/02),"8,239",1주일전 (12/27),"8,309",2주일전 (12/20),"8,218",1개월전,"7,766",1년전,"8,495",일평년,"8,495",2023-01-03,,,
소,갈비,1+등급,100g,당일 (01/03),"7,036",1일전 (01/02),"7,041",1주일전 (12/27),"7,057",2주일전 (12/20),"7,042",1개월전,"7,023",1년전,"7,974",일평년,"7,992",2023-01-03,,,
소,갈비,1등급,100g,당일 (01/03),"6,612",1일전 (01/02),"6,627",1주일전 (12/27),"6,616",2주일전 (12/20),"6,600",1개월전,"6,670",1년전,"9,661",일평년,"9,661",2023-01-03,,,
돼지,앞다리,앞다리,100g,당일 (01/03),"1,355",1일전 (01/02),"1,355",1주일전 (12/27),"1,356",2주일전 (12/20),"1,340",1개월전,"1,355",1년전,"1,445",일평년,"1,438",2023-01-03,,,
돼지,삼겹살,삼겹살,100g,당일 (01/03),"2,511",1일전 (01/02),"2,511",1주일전 (12/27),"2,513",2주일전 (12/20),"2,615",1개월전,"2,495",1년전,"2,617",일평년,"1,984",2023-01-03,,,
돼지,갈비,갈비,100g,당일 (01/03),"1,429",1일전 (01/02),"1,428",1주일전 (12/27),"1,431",2주일전 (12/20),"1,361",1개월전,"1,400",1년전,"1,393",일평년,"1,405",2023-01-03,,,
돼지,목심,목심,100g,당일 (01/03),"2,316",1일전 (01/02),"2,313",1주일전 (12/27),"2,322",2주일전 (12/20),"2,432",1개월전,"2,287",1년전,"2,414",일평년,"2,415",2023-01-03,,,
수입 소고기,갈비,미국산,100g,당일 (01/03),"4,215",1일전 (01/02),"4,216",1주일전 (12/27),"4,218",2주일전 (12/20),"4,214",1개월전,"3,951",1년전,"4,005",일평년,"4,005",2023-01-03,,,
수입 소고기,갈비,호주산,100g,당일 (01/03),"4,432",1일전 (01/02),"4,432",1주일전 (12/27),"4,434",2주일전 (12/20),"4,440",1개월전,"4,505",1년전,"3,388",일평년,"3,388",2023-01-03,,,
수입 소고기,갈비살,미국산,100g,당일 (01/03),"4,188",1일전 (01/02),"4,198",1주일전 (12/27),"4,184",2주일전 (12/20),"4,255",1개월전,"4,300",1년전,"3,840",일평년,"3,868",2023-01-03,,,
수입 소고기,갈비살,호주산,100g,당일 (01/03),0,1일전 (01/02),0,1주일전 (12/27),0,2주일전 (12/20),0,1개월전,"4,981",1년전,0,일평년,-,2023-01-03,,,
수입 돼지고기,삼겹살,삼겹살,100g,당일 (01/03),"1,560",1일전 (01/02),"1,558",1주일전 (12/27),"1,559",2주일전 (12/20),"1,558",1개월전,"1,567",1년전,"1,491",일평년,"1,493",2023-01-03,,,
