item_name,kind_name,rank,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,item_code,kind_code,rank_code
참깨,백색(국산)(500g),상품,500g,당일 (01/02),"16,138",1일전 (01/01),-,1주일전 (12/26),"16,138",2주일전 (12/19),"16,138",1개월전,"16,188",1년전,"16,900",일평년,"13,008",2023-01-02,,,
참깨,중국(500g),중품,500g,당일 (01/02),"5,104",1일전 (01/01),-,1주일전 (12/26),"5,104",2주일전 (12/19),"5,104",1개월전,"5,104",1년전,"4,679",일평년,"4,140",2023-01-02,,,
땅콩,국산(100g),상품,100g,당일 (01/02),"2,750",1일전 (01/01),-,1주일전 (12/26),"2,746",2주일전 (12/19),"2,743",1개월전,"2,698",1년전,"2,707",일평년,"2,352",2023-01-02,,,
땅콩,수입(100g),중품,100g,당일 (01/02),884,1일전 (01/01),-,1주일전 (12/26),883,2주일전 (12/19),888,1개월전,890,1년전,890,일평년,809,2023-01-02,,,
느타리버섯,느타리버섯(100g),상품,100g,당일 (01/02),"1,062",1일전 (01/01),-,1주일전 (12/26),"1,021",2주일전 (12/19),"1,059",1개월전,"1,074",1년전,"1,086",일평년,"1,025",2023-01-02,,,
느타리버섯,애느타리버섯(100g),상품,100g,당일 (01/02),614,1일전 (01/01),-,1주일전 (12/26),574,2주일전 (12/19),545,1개월전,567,1년전,580,일평년,528,2023-01-02,,,
팽이버섯,팽이버섯(150g),상품,150g,당일 (01/02),601,1일전 (01/01),-,1주일전 (12/26),566,2주일전 (12/19),571,1개월전,595,1년전,557,일평년,529,2023-01-02,,,
새송이버섯,새송이버섯(100g),상품,100g,당일 (01/02),646,1일전 (01/01),-,1주일전 (12/26),607,2주일전 (12/19),636,1개월전,628,1년전,575,일평년,522,2023-01-02,,,
새송이버섯,새송이버섯(100g),중품,100g,당일 (01/02),460,1일전 (01/01),-,1주일전 (12/26),448,2주일전 (12/19),432,1개월전,413,1년전,465,일평년,423,2023-01-02,,,
호두,수입(100g),중품,100g,당일 (01/02),"1,506",1일전 (01/01),-,1주일전 (12/26),"1,370",2주일전 (12/19),"1,460",1개월전,"1,484",1년전,"1,639",일평년,"1,644",2023-01-02,,,
아몬드,수입(100g),중품,100g,당일 (01/02),"1,566",1일전 (01/01),-,1주일전 (12/26),"1,539",2주일전 (12/19),"1,543",1개월전,"1,542",1년전,"1,528",일평년,"1,496",2023-01-02,,,
참깨,백색(국산)(500g),상품,500g,당일 (01/03),"16,138",1일전 (01/02),"16,138",1주일전 (12/27),"16,138",2주일전 (12/20),"16,138",1개월전,"16,188",1년전,"16,900",일평년,"13,012",2023-01-03,,,
참깨,중국(500g),중품,500g,당일 (01/03),"5,104",1일전 (01/02),"5,104",1주일전 (12/27),"5,104",2주일전 (12/20),"5,104",1개월전,"5,104",1년전,"4,681",일평년,"4,142",2023-01-03,,,
땅콩,국산(100g),상품,100g,당일 (01/03),"2,750",1일전 (01/02),"2,750",1주일전 (12/27),"2,746",2주일전 (12/20),"2,743",1개월전,"2,698",1년전,"2,707",일평년,"2,357",2023-01-03,,,
땅콩,수입(100g),중품,100g,당일 (01/03),886,1일전 (01/02),884,1주일전 (12/27),890,2주일전 (12/20),885,1개월전,890,1년전,885,일평년,809,2023-01-03,,,
느타리버섯,느타리버섯(100g),상품,100g,당일 (01/03),"1,065",1일전 (01/02),"1,062",1주일전 (12/27),"1,028",2주일전 (12/20),"1,059",1개월전,"1,074",1년전,"1,084",일평년,"1,025",2023-01-03,,,
느타리버섯,애느타리버섯(100g),상품,100g,당일 (01/03),610,1일전 (01/02),614,1주일전 (12/27),574,2주일전 (12/20),545,1개월전,567,1년전,580,일평년,521,2023-01-03,,,
팽이버섯,팽이버섯(150g),상품,150g,당일 (01/03),598,1일전 (01/02),601,1주일전 (12/27),571,2주일전 (12/20),573,1개월전,595,1년전,558,일평년,530,2023-01-03,,,
새송이버섯,새송이버섯(100g),상품,100g,당일 (01/03),643,1일전 (01/02),646,1주일전 (12/27),608,2주일전 (12/20),640,1개월전,628,1년전,574,일평년,522,2023-01-03,,,
새송이버섯,새송이버섯(100g),중품,100g,당일 (01/03),465,1일전 (01/02),460,1주일전 (12/27),447,2주일전 (12/20),432,1개월전,413,1년전,465,일평년,423,2023-01-03,,,
호두,수입(100g),중품,100g,당일 (01/03),"1,524",1일전 (01/02),"1,506",1주일전 (12/27),"1,406",2주일전 (12/20),"1,429",1개월전,"1,484",1년전,"1,637",일평년,"1,640",2023-01-03,,,
아몬드,수입(100g),중품,100g,당일 (01/03),"1,566",1일전 (01/02),"1,566",1주일전 (12/27),"1,545",2주일전 (12/20),"1,543",1개월전,"1,542",1년전,"1,527",일평년,"1,498",2023-01-03,,,
