stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
156,광주,2023-01-01,1.3,-2.9,724,7.0,1409,,,,,,,5.2,320.0,1530.0,2.3,50.0,1404.0,0.8,683,50.0,-5.2,39,1731,64.6,4.2,1022.5,1033.0,2239,1029.5,1529,1031.4,9.8,7.5,1200,1.78,9.97,,,8.0,1.0,,1.0,0.6,-0.5,-8.5,,,,,,,,,,1.3,1.9,,{박무}0234-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1104. {연무}1110-{연무}{강도0}1200-{연무}{강도0}1500-1707. {달무리}1845-1945.,
156,광주,2023-01-02,-0.2,-2.5,718,3.2,1348,,,,,,,7.2,90.0,1406.0,2.8,50.0,447.0,1.8,1523,50.0,-10.5,21,1319,47.4,2.8,1023.3,1034.2,942,1030.3,1458,1032.3,9.9,8.7,1200,2.01,12.42,,,6.5,1.0,,3.6,0.5,-0.8,-8.1,,,,,,,,,,1.5,2.2,,,
156,광주,2023-01-03,0.2,-3.2,745,4.8,1431,,,,,,,6.7,50.0,1406.0,3.7,50.0,1415.0,1.6,1342,50.0,-7.6,40,1400,57.0,3.5,1021.9,1032.2,307,1028.9,1510,1030.9,9.9,9.1,1200,2.11,12.47,,,5.8,1.0,,0.8,0.0,-1.1,-8.9,,,,,,,,,,1.5,2.1,,,
156,광주,2023-01-04,0.4,-4.1,616,5.4,1430,,,,,,,5.4,70.0,143.0,3.1,70.0,149.0,0.6,557,70.0,-6.2,43,355,62.4,4.0,1022.5,1032.8,1027,1030.1,1613,1031.4,9.9,6.1,1200,1.81,9.63,,,4.6,1.0,,1.9,1.1,-0.8,-9.9,,,,,,,,,,1.0,1.4,,{연무}1708-{연무}{강도0}1800-{연무}{강도0}2100-2129. {박무}2125-{박무}{강도0}2400-,
156,광주,2023-01-05,3.0,-0.5,59,8.0,1532,,,,,,,2.3,320.0,1725.0,1.2,250.0,1451.0,0.3,286,270.0,-1.2,49,1535,75.3,5.6,1021.9,1032.6,926,1029.0,1412,1030.7,9.9,5.1,1300,1.63,8.95,,,2.5,1.0,,6.3,4.5,2.4,-6.4,,,,,,,,,,1.0,1.4,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1122. {연무}1116-{연무}{강도0}1200-{연무}{강도0}1500-{연무}{강도0}1800-{연무}{강도1}2100-2206. {박무}2201-{박무}{강도1}2400-,
156,광주,2023-01-06,3.7,-1.2,549,8.4,1444,,,,,2.25,2.4,5.5,290.0,2400.0,2.4,250.0,2319.0,0.5,397,270.0,0.5,55,1447,81.4,6.4,1014.4,1029.9,1,1017.4,2250,1023.2,9.9,6.6,1200,1.84,9.93,,,,,,4.9,2.5,4.0,-6.9,,,,,,,,,,1.2,1.7,,-{박무}-{박무}{강도1}0300-{박무}{강도2}0600-{박무}{강도2}0900-1135. {연무}1130-{연무}{강도1}1200-{연무}{강도1}1500-{연무}{강도1}1800-1940. {비}1940-2015. {박무}1945-{박무}{강도2}2100-{박무}{강도2}2400- {비}2055-{비}{강도0}2100-2140. {비}2303-2358.,
156,광주,2023-01-07,4.6,1.2,2400,7.3,1436,,,,,,,7.5,70.0,1337.0,2.9,50.0,1337.0,1.3,1087,290.0,-3.8,41,1440,54.8,4.6,1012.8,1025.4,2342,1017.7,30,1021.6,9.9,3.3,1400,1.24,6.52,,,,,,4.4,3.6,3.8,-5.6,,,,,,,,,,1.0,1.4,,{연무}0140- -{박무}-0145. {황사}0215-0220.{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-{황사}{강도0}1200-{황사}{강도0}1500-{황사}{강도0}1800-{황사}{강도0}2100-{황사}{강도0}2400-,
156,광주,2023-01-08,3.2,-2.3,806,9.1,1509,,,,,,,2.8,270.0,1349.0,1.6,270.0,1352.0,0.5,436,70.0,-3.2,33,1513,66.4,4.9,1016.7,1028.1,906,1024.0,1614,1025.6,9.9,8.3,1200,1.88,11.42,,,,,,0.0,0.0,2.5,-7.9,,,,,,,,,,1.3,1.8,,-{황사}-{황사}{강도0}0300-{황사}{강도0}0600-{황사}{강도0}0900-{황사}{강도0}1200-1450.,
156,광주,2023-01-09,3.9,0.4,2336,11.5,1402,,,,,,,6.1,320.0,1448.0,2.8,340.0,1503.0,0.7,646,50.0,-1.5,47,1842,68.3,5.6,1016.1,1028.1,2342,1022.3,1423,1024.9,9.9,4.4,1300,1.61,7.84,,,,,,4.1,3.6,3.7,-6.8,,,,,,,,,,1.1,1.6,,{연무}1047-{연무}{강도0}1200-{연무}{강도0}1500-1727.,
156,광주,2023-01-10,3.8,-2.6,706,10.9,1518,,,,,,,3.4,90.0,331.0,1.7,50.0,10.0,0.6,515,70.0,-3.9,32,1353,59.6,4.6,1019.5,1030.9,940,1026.8,1617,1028.4,10.0,8.2,1200,2.12,12.73,,,,,,2.3,0.0,2.7,-9.8,,,,,,,,,,1.5,2.1,,{박무}0703-{박무}{강도0}0900-0909. {연무}2050-{연무}{강도0}2100-{연무}{강도0}2400-,
